,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,MarLboro   12 ,5,0,18,92,Riven,8816,9955,8816,69996,7,True,True,20237,18995,TOP,0,1,0,3047,3071,6630,3053,3026,6694,3364,29,25,TOP,8,601,0,0,9665,16,0,0,0,0,0,225474,49685,31891,4642,XwdjW1EEv6tcGTFzYvT8HxfRXwgHqKC6AFm1ieQZjjl4afD_A7T2psgP0z_QPm_6QqT2OIUKrsRSgA,SOLO,345,73,175,33,5,4,7,14,375,TOP,55,51275,0,44801,13496,0,260,214,269,2788,1590,3245,4,5,4,0,16,True
1,MitchDaniels20,13,0,14,19,Warwick,1046,19637,1046,26766,7,False,False,9121,8950,JUNGLE,0,1,0,3748,2031,3047,6632,1028,1036,3340,14,2,JUNGLE,0,491,36555,6070,6997,112,0,0,0,0,0,70384,4441,26613,4812,aOlqnjBrWkrtIRLFDTSVQ3pUETG7zfROswD7I5xdHMtXvxlfAxWFCwvPaxauQRFSgW7_NtsqnwDX8w,NONE,90,33,56,7,3,4,18,11,114,JUNGLE,29,11623,0,35647,12538,0,8,323,245,11525,1112,2035,2,3,4,0,20,True
2,Aidenheat,11,0,16,99,Lux,2508,5444,2508,8661,2,False,False,13092,12225,MIDDLE,1,1,0,3157,6655,1058,3020,1082,4628,3363,21,13,MIDDLE,8,898,137416,28556,5718,17,0,0,1,0,0,14135,1546,7411,3543,yX_gjoUO2x2yAM20S9C-MrdiZglV94WxMrQizADU_nh6YNDxcKIKaS6McyRtccgR0neP-_xEShNj3w,SOLO,69,20,205,16,3,12,4,4,39,MIDDLE,48,30138,548,13419,681,0,186,549,83,271,35,290,1,4,4,0,27,True
3,Awildansony,9,0,14,51,Caitlyn,7010,25926,7010,6647,4,False,False,10767,9350,BOTTOM,0,2,0,1055,6671,3095,1038,0,3006,3363,19,5,BOTTOM,3,911,2988,1676,4699,12,1,0,1,0,0,119888,13508,10346,4025,zW63o2u-Qs-cHc_qJRTO-5Zto6YY3V654clJ1E7t4vlXI29fbuoxKXI3R47XEfEc8NjN-qkkYot9ZA,CARRY,59,32,26,9,3,7,4,4,77,BOTTOM,13,15339,0,15382,3223,67,130,79,110,8058,154,336,1,6,4,0,33,True
4,Arborealissadae,24,0,14,16,Soraka,1163,2429,1163,6883,6,False,False,7908,6825,UTILITY,1,2,0,3853,3158,6617,1011,3801,2055,3364,23,1,BOTTOM,0,451,10942,6027,3788,0,0,0,1,0,0,4160,461,7543,23,cMWxS8-3oIinXqKNpgzta71QOMeQdJR0V00STjP8iJsTyH7RO9Ww8-Mo9nnJVf807pIJCz9WjxpuAQ,SUPPORT,53,39,37,8,2,4,6,21,417,UTILITY,45,6544,0,11826,20358,15921,7,173,126,140,56,495,1,4,4,0,49,True
5,xXLlamaLord13Xx,3,0,14,164,Camille,2680,2680,2680,23061,12,False,False,7309,7333,TOP,0,0,2,3078,3047,3077,1029,1011,0,3340,16,0,TOP,0,311,375,375,5417,0,0,1,0,0,0,42337,2844,18923,1590,gCGEkRemznc08MA7dFX0JRWq83VQ7fP_474paB2uFenz-6eYaVWC5eLN_LgCI28nYyIl5nBzbZ_RvA,SOLO,85,26,60,5,2,12,1,4,178,TOP,8,3790,0,24854,704,0,92,116,367,20510,569,514,1,1,9,0,8,False
6,Shane Riven,5,0,15,107,Rengar,6036,18277,6036,20683,9,False,False,13990,13875,JUNGLE,0,0,2,3047,3508,6692,3036,6676,1029,3364,24,8,JUNGLE,2,535,20704,1134,11844,126,0,1,0,0,1,149841,16940,21605,4424,RJsEzVzfd0QMLSj_sEOZ74sF1jMiJM_syWAHw53sauqD3nowDb_mVAVrTaFuQ_KvlT9KeowWN4Norw,NONE,195,66,83,12,4,4,15,11,82,JUNGLE,10,19123,0,34887,14622,0,69,356,336,7464,1048,1437,3,3,9,0,23,False
7,Datboigenji,6,1,16,10,Kayle,682,1884,682,12554,8,False,False,11440,10800,MIDDLE,0,0,2,2033,3115,3006,4633,3100,0,3340,18,5,MIDDLE,2,382,88161,12772,10622,28,0,1,0,1,0,38634,3191,14765,1433,S2dnKlob-NO7NXtrWQWxedEFPibN7HKdYpozgLxkQezC1sQ2E5joTYS0KiRwGFlqEock-SOttFyNog,SOLO,58,52,54,6,4,4,2,12,65,MIDDLE,6,16731,0,25471,7387,1221,164,253,244,3387,767,84,0,0,9,0,9,False
8,skayler,8,0,15,523,Aphelios,2965,16942,2965,13273,8,False,False,15069,14150,BOTTOM,0,0,2,6672,3085,3006,3031,3033,1018,3340,21,9,BOTTOM,4,489,2882,602,7773,16,0,1,0,0,0,181055,30910,13827,4027,Y73oUkbNaaWv5lkan7MUiP4VLuSIbFG4JLzN3Oc-cQ_HWTIzM4rYZ4kVLBLm8mCZVnnEnIHbn1QX_g,CARRY,70,214,0,9,5,4,5,7,46,BOTTOM,12,34527,0,21946,3978,248,215,174,195,23677,3014,346,0,1,9,0,15,False
9,Drag0n Lord,14,0,15,50,Swain,568,1668,568,14833,9,False,False,9909,8750,UTILITY,0,0,2,3020,3853,6656,3165,3082,1029,3364,20,4,BOTTOM,2,575,36044,13008,8257,0,0,1,0,0,0,5706,839,20757,3859,VhJskapNr3tZ0qTRETgykd55QFTk3XtZCU5WfGs84ijIhIh2uoDDLnoAKeCzztLblw3q_toV5lVJTA,SUPPORT,37,47,37,11,5,14,4,4,138,UTILITY,44,14850,0,29581,4970,0,34,184,344,1003,1003,566,0,0,9,0,45,False
