,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Deveraux,10,0,16,516,Ornn,4935,9311,4935,40373,4,False,False,10642,9050,TOP,0,1,0,3047,7004,3075,1054,3105,1029,3340,20,4,TOP,2,841,65415,14269,18927,8,0,0,1,0,0,48807,7514,11427,787,nkkQiJ9u9hD5fbaFF4Ed36UIcNCiLL4-hGu4NkG2ABnQWeEBSR3ga8-tGl3jyzmev30akWeUi5Mp2g,SOLO,81,59,25,21,3,4,3,12,51,TOP,42,23036,0,32850,13681,0,145,492,147,12847,1252,2495,2,5,2,0,14,True
1,xAstrayx,9,0,15,5,XinZhao,2881,37909,2881,20072,4,False,False,11215,8835,JUNGLE,0,2,0,6692,0,1037,3053,0,3006,3364,19,6,JUNGLE,3,621,12066,640,8301,111,1,0,1,0,0,114307,12975,23368,4631,XdRgwjz4mexiRmwsDk-JJC79pWigSRhOhk3GFfClMBQDWUHK0LJd4zcMas7ej5_76BX9UX41khaB5g,NONE,72,102,0,6,20,11,4,4,42,JUNGLE,14,14874,0,32970,20820,0,24,424,131,24707,1257,1300,2,4,2,0,23,True
2,b152341,10,0,15,103,Ahri,4028,8195,4028,10288,9,True,False,13256,12900,MIDDLE,0,0,0,7012,4629,3020,3157,1058,1058,3340,23,11,MIDDLE,3,364,73854,22372,11926,4,0,0,0,0,0,10142,1078,12093,28,pZTAR5WAYgy6PUnlVYQQbykOZ-TxkcgIfGR5XdiNMdQzEjDRvWJY549rZnBAZp7iXAGECnumlmczqQ,SOLO,84,69,41,40,5,4,7,14,136,MIDDLE,31,31209,0,25137,6083,0,148,95,343,35279,7758,1117,1,3,2,0,15,True
3,KinkyDoug,10,0,16,119,Draven,13145,24157,13145,10661,2,False,True,17095,14530,BOTTOM,2,2,0,1055,7008,3006,6676,3031,3508,3363,21,8,BOTTOM,4,1213,0,0,6886,29,0,0,1,0,0,207640,25377,13686,1111,np0hbLgmGB6-tPU83IsmAdQqgstQyS_wkyD1VEexmQDjjVW4FNB8IML09jzkFF6H56FV2Ak2c80Uyw,CARRY,69,114,20,13,3,4,4,7,65,BOTTOM,10,26530,0,21059,10572,342,201,73,82,5090,1153,486,5,8,2,0,33,True
4,bitesoul,14,0,14,99,Lux,1984,5868,1984,11004,5,False,False,11251,9575,UTILITY,1,2,0,3853,3157,6655,3108,4632,3020,3364,23,8,BOTTOM,3,869,49436,15496,5749,12,0,0,1,0,0,6272,1456,7104,4863,NPdfcSufAc-_oQv64hKOsjFB2ZpS2VUwQAIe8OqN77Jhb81FNPYfYz5DLpTRysbjAhtbcQRitBienw,SUPPORT,47,52,151,11,7,14,5,4,281,UTILITY,46,18347,4044,13255,2656,0,32,244,166,2734,1394,401,1,4,2,0,61,True
5,aidanheat,9,0,15,101,Xerath,442,5393,442,6924,8,False,False,9701,9410,MIDDLE,0,0,3,4628,6655,3020,1052,3916,0,3363,23,2,MIDDLE,0,486,123633,25225,8883,0,0,1,0,0,0,7512,323,7797,903,oaEdpACVKV1sDiozSCwJtEv-UGKSs8A6cp9tDVxiDAXe1jvJlfBA0yiXQSvGmvvZdl6xUx_KqtzbHA,SOLO,112,59,25,46,5,4,3,12,117,MIDDLE,25,25549,0,19570,930,0,189,197,241,5337,0,2889,0,0,11,0,20,False
6, You  Huan  ,2,0,14,121,Khazix,3183,17271,3183,20247,10,False,False,13531,13100,JUNGLE,0,0,3,6691,3155,6676,3047,3814,3133,3364,21,12,JUNGLE,3,534,7224,1351,10716,106,0,1,0,0,0,115469,22793,21512,4409,6AtovGTy8TC54zGF7PrCVm2v2vWPyMLU1yMVT0y-lBIZ2gyEkK89hxf6Yh2SEJUimjQU0-biQftJ-Q,NONE,134,85,32,25,14,11,4,4,172,JUNGLE,14,25256,0,34915,12461,0,25,356,325,9565,1111,2685,1,1,11,0,18,False
7,halfstray,8,0,14,104,Graves,1320,2962,1320,12307,2,False,False,9974,9775,BOTTOM,0,0,3,3053,6671,3134,3158,1036,0,3340,23,5,BOTTOM,4,668,2571,1329,9333,4,0,1,0,0,0,86684,10798,13075,507,1e4tL6IrP0FqVVsStdW6GbSdfF3hpNCF45lIGVhXn65FewvICyrsNtYtk7MmqYc9yph4Ch94n4gxyA,CARRY,55,28,52,8,7,14,5,4,135,BOTTOM,28,13420,0,25223,6366,0,139,340,40,1998,1292,2813,0,1,11,0,19,False
8,Aidenheat,7,0,15,84,Akali,1141,1141,1141,17274,7,False,False,9716,9350,TOP,0,0,3,3157,2031,1026,3020,4633,3916,3340,16,4,TOP,0,834,71420,17962,13570,0,0,1,0,0,0,15027,1448,14932,3543,yX_gjoUO2x2yAM20S9C-MrdiZglV94WxMrQizADU_nh6YNDxcKIKaS6McyRtccgR0neP-_xEShNj3w,SOLO,115,23,78,18,5,14,3,12,39,TOP,4,21972,0,30689,5494,0,146,79,257,21653,2562,2186,1,1,11,0,13,False
9,GroggyP,11,0,12,53,Blitzcrank,0,420,0,25958,10,False,False,7022,6150,UTILITY,0,0,3,3860,3190,2055,3076,3047,1011,3364,23,1,BOTTOM,0,371,12445,4560,12172,4,0,1,0,0,0,6923,2868,13169,4,yyo2ihwqcgwvcyevbXFjs9iQZ3OizEXC4TbAx60pkCpIKnh6dDW3H5nokkeNwPy3Czyi7W1x_X-5SA,SUPPORT,29,36,33,12,7,14,5,4,200,UTILITY,43,8265,701,27584,2341,371,27,128,214,22964,835,2242,0,0,11,0,57,False
