,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Bear on Fire,2,0,15,39,Irelia,6541,6923,6541,18176,7,False,False,11807,9950,TOP,0,0,2,1055,3153,2055,3047,6670,3748,3340,22,3,TOP,0,438,17142,5278,5466,4,0,1,0,0,0,123066,9574,16046,6,Vzr2DfVIbmqDWpsGVayblcCqPIWMY3Wem5EzS1VUl4KEpT5Jd7RSsypjSrNBzauyMK63mBr8m0IouA,SOLO,200,31,64,6,3,12,4,4,129,TOP,20,15003,0,23805,2804,0,209,91,250,1750,150,2293,3,3,10,0,24,False
1,Duffy01,5,0,14,106,Volibear,0,11034,0,33277,6,False,False,9511,8250,JUNGLE,0,0,2,6632,2031,2055,3047,3742,0,3340,18,4,JUNGLE,3,617,49141,3083,7190,118,0,1,0,0,0,75860,9677,21880,1594,nc-4C8vI0k4iu24CaSX446t_p2pyuxcqy7pZA8GTghjXXk8oZeCFcrnJuVbVXrv5HHN3D13I_eF_FQ,NONE,77,118,62,6,16,11,4,4,303,JUNGLE,24,13888,0,31308,10963,299,28,531,196,10573,1127,2237,0,0,10,0,26,False
2,aidanheat,3,0,14,238,Zed,1008,1008,1008,10250,4,False,False,11304,10825,MIDDLE,0,0,2,6692,2031,3158,6676,3036,2055,3340,22,5,MIDDLE,2,785,6978,1029,2529,12,0,1,0,0,0,105984,18930,11579,903,oaEdpACVKV1sDiozSCwJtEv-UGKSs8A6cp9tDVxiDAXe1jvJlfBA0yiXQSvGmvvZdl6xUx_KqtzbHA,SOLO,98,61,96,12,3,4,5,14,117,MIDDLE,8,20764,0,15389,3065,0,170,120,138,20253,804,1279,0,0,10,0,22,False
3,Aidenheat,3,0,13,22,Ashe,494,2679,494,6645,7,False,False,7708,6700,BOTTOM,0,0,2,6672,2031,3086,3006,1036,0,3340,20,0,BOTTOM,0,433,1597,1327,6064,8,0,1,0,0,0,75856,9643,11093,3543,yX_gjoUO2x2yAM20S9C-MrdiZglV94WxMrQizADU_nh6YNDxcKIKaS6McyRtccgR0neP-_xEShNj3w,CARRY,12,89,13,10,6,7,5,4,39,BOTTOM,37,11561,0,18316,2430,349,145,540,191,2789,590,1158,0,0,10,0,14,False
4,BrotherBear35,4,0,12,99,Lux,165,6855,165,5263,7,False,False,6874,6350,UTILITY,0,0,2,3853,3108,6655,3020,2420,0,3364,14,0,BOTTOM,0,433,45155,17868,5548,5,0,1,0,1,0,2025,269,5613,6,3bL0yCE62sgmj6XbKhcFMLbhPuBO3XWPof4thSmFBnxeB15-P3nFKZSOv_XaXhSh2p4Na-4UYFnykQ,SUPPORT,61,33,167,16,5,4,5,3,202,UTILITY,54,19118,485,11269,342,0,41,232,207,3525,981,106,0,0,10,0,59,False
5,AuirXx,9,0,17,875,Sett,6498,33008,6498,33361,2,True,False,14309,12110,TOP,1,2,0,6630,3075,3153,3047,1055,3044,3363,22,8,MIDDLE,4,925,1267,594,10169,17,0,0,1,0,0,138067,17097,21242,4903,ajku38l-QsiYE2F4zYdvaURGnPw6VphYIMmdWw-pM0sUGti2sNTwXaE0a0RgskDn-e_kw3oDqyOHKg,DUO,99,33,38,7,4,12,4,4,95,TOP,25,22516,0,32432,8217,0,197,159,77,27799,4825,1020,5,6,4,0,30,True
6,AnnihiGator,9,1,15,5,XinZhao,2479,20488,2479,19849,5,False,True,12160,10550,JUNGLE,0,0,0,6630,3047,6609,3508,1028,0,3364,19,5,JUNGLE,2,450,17383,1145,7020,132,0,0,0,0,0,134015,12595,24979,714,UqwZlFK3dd_LYFbrg9zcTEPXYOVYNPcm_UhXVqINbBrhE1swhKnoV2YUoz-Tv692o5n6Z7lvcuO7_Q,NONE,69,129,0,9,17,11,5,4,341,JUNGLE,12,13957,0,33237,14916,0,50,507,146,13738,216,1238,2,3,4,0,40,True
7,Kazestar,5,0,14,84,Akali,2085,7148,2085,16203,3,False,False,11048,10560,MIDDLE,0,1,0,3152,1082,3165,3020,3157,1052,3340,21,9,MIDDLE,5,739,85150,16822,4712,9,0,0,1,0,0,13097,841,15755,588,j85J0_wUxVVBsbZc4x22yiyJsvhSQdigmSYvokyI8g6gIcccVdXYpDCV9xKlln718J4YYKSmeZilQw,DUO,119,12,55,23,3,4,5,14,158,MIDDLE,1,18547,0,21010,3627,0,146,34,113,2364,884,542,0,2,4,0,19,True
8,Corthraenduriin,6,0,15,51,Caitlyn,4508,23415,4508,7680,1,False,False,14061,12650,BOTTOM,1,2,0,2421,6671,6695,3134,3006,6676,3363,18,9,BOTTOM,7,1301,1655,1365,6442,34,1,0,1,0,0,173867,17720,12481,3379,NlQzrIto_QzKHiGHhvaTEI8o2Ldj3SLAp8V94R549Uo3kVc5Q7NKVDYSMmd0FvAe6eVDLXN5cQmQDg,CARRY,58,58,20,10,3,4,4,7,180,BOTTOM,21,19246,0,19311,5404,870,182,79,39,5069,160,387,1,4,4,0,32,True
9,Kar2Danielson,17,0,13,16,Soraka,2330,3624,2330,8828,1,False,False,8817,7925,UTILITY,0,0,0,3853,3190,2055,3009,4629,3114,3364,18,0,BOTTOM,0,1293,27898,5684,2918,2,0,0,0,0,0,4124,574,7334,4569,9EYVx-L48F06c0ri1dudcwTnHTpUjvvm1X7lfqlE7jcDWHfriqnlMIKbUdQA37fsl0XOvUBxyRwwGg,SUPPORT,72,33,31,6,3,4,5,14,232,UTILITY,35,7249,1320,10718,17169,11123,33,191,31,990,990,465,1,2,4,0,48,True
