,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Pontus13,0,0,10,82,Mordekaiser,0,0,0,11767,6,False,False,8258,7700,TOP,0,0,0,1056,4633,3047,3157,1029,0,3340,14,4,NONE,3,198,15587,5100,1008,0,0,0,0,0,0,10031,2589,10677,3380,wE6uE3k2d3wifiD6YBlim-QokdK3IL2-d2qDRg1FMtuvi23HiTg9rGTLeYfEAniMFCmLz8KEzrfYnw,SUPPORT,29,14,15,4,6,54,2,4,165,TOP,2,8023,0,14013,2410,0,50,3,114,387,332,2326,0,0,5,0,4,False
1,1800 yone diff,1,0,10,141,Kayn,0,10279,0,6262,4,False,False,5992,5800,JUNGLE,0,0,0,6691,3158,1037,1036,0,0,3364,12,0,NONE,0,623,4229,0,5321,72,0,0,0,0,0,53422,4024,10006,4959,YQGmauTtb7U-phkKMOFtspxWCjj7J92-j0Tfw5ZJQkxkPoSfZXSLtb8sI7rs0FQodJPhjinPiTUv3w,SUPPORT,56,30,15,4,6,54,12,11,141,JUNGLE,2,4556,0,15431,5915,0,11,166,91,15892,532,104,0,0,5,0,15,False
2,kyatarinya,1,0,10,99,Lux,79,79,79,3823,5,False,False,4989,4075,MIDDLE,0,0,0,1056,6655,1001,0,0,0,3340,9,0,NONE,0,225,19905,1814,3330,0,0,0,0,0,0,5525,676,5477,3840,Bg0e_Lm9coTSr2m-nw4BaR6qiskUxB5aGsz7xlrthgwCBFeRLbnGlgTaPmD5WoZ3sf23dbTHrhdGPQ,SUPPORT,17,8,51,3,12,54,3,4,52,MIDDLE,8,2491,174,9220,712,0,47,129,122,0,0,413,0,0,5,0,8,False
3,bohemianturkey,0,0,8,51,Caitlyn,0,0,0,3009,6,False,False,4587,4450,UTILITY,0,0,0,1055,3006,1018,6670,1037,0,3340,13,0,NONE,0,302,1534,1534,1587,0,0,0,0,0,0,18374,1648,8610,3838,Sw0MHWALFF6YFZi_hlVMr6CX4MYwHILtRG1quWwM96JZ-ZbKt0f_yJorqPLeLv-xh6tVE-aI4rR1Sg,SUPPORT,21,15,9,3,2,54,4,4,49,BOTTOM,5,3182,0,10261,976,0,30,10,145,3005,0,64,0,0,5,0,5,False
4,gamerboykit,2,0,8,1,Annie,0,0,0,3129,7,False,False,4825,3675,UTILITY,0,0,0,3851,6655,0,0,0,0,3340,6,0,NONE,0,321,6714,1674,3092,0,0,0,0,0,0,809,346,5408,3837,vVdUFX1higbPVy7mjAdBH0Eo0swnmrp4UpZ1N1lBnzZAekAf1rda5vw5Lxs8GkGyYTXD2huSfN5MKg,SUPPORT,21,28,42,7,3,54,4,7,52,UTILITY,49,2021,216,9208,1389,585,5,119,142,0,0,708,0,0,5,0,1,False
5,Kyrorui,2,0,13,164,Camille,3774,3774,3774,10088,2,True,False,10575,8605,TOP,0,0,0,3074,6632,3158,1036,1055,0,3340,13,9,NONE,3,483,784,784,5234,4,0,0,0,0,0,55761,12437,8421,4864,EtsO7aTU7RMFAMmBz9ayDxG-tAGymliimqjcUjOB3P6DtWby8UiA52XBjxNwcbDHD7rMOgXLIlD12g,SUPPORT,106,25,43,2,2,4,6,54,92,TOP,16,16110,0,13971,6005,0,83,138,63,10479,2887,315,2,2,0,0,1,True
6,Kirari Senpai,1,0,10,238,Zed,3810,6461,3810,4442,1,False,True,9670,8550,JUNGLE,0,0,0,0,6693,2420,3134,1001,6695,3364,18,10,NONE,8,727,9409,780,901,44,0,0,0,0,0,56773,10610,9265,4987,jpFZ10cCHYylXJpXucgOLFrj5GUjfp1eCfMtlEkcFruvdYQv-8wtIqVa_ANecmalpnVrSK53rGF6sg,SUPPORT,55,44,81,8,8,11,3,54,324,JUNGLE,2,11482,0,10423,4620,0,33,79,30,3372,92,256,2,3,0,0,10,True
7,Bäm,4,0,12,55,Katarina,326,326,326,3020,0,False,False,7660,5585,MIDDLE,0,0,0,1055,3152,3020,1082,1052,0,3340,13,5,NONE,5,0,38821,8449,1627,3,0,0,0,0,0,7598,1250,5487,745,U32WXmRCJ-cOZJ50-YS9uZNia4mdH_aweUIkInXqMl4kSQ_ikZcefVfA4ypfHmvy5esAh3ITE2XotQ,SUPPORT,42,18,0,4,2,4,3,54,303,MIDDLE,2,9700,0,7351,3298,0,64,21,0,438,0,236,0,0,0,0,5,True
8,SirMartini,6,0,11,202,Jhin,1045,5103,1045,2608,0,False,False,7793,5100,BOTTOM,0,0,0,1055,6692,0,1036,0,3009,3340,9,2,NONE,2,0,5760,846,1031,0,0,0,0,0,0,47690,5050,4963,4864,xW3VT1LbNHkSClOgKfjpRI4iMlVCHQNdpqNpl-0mSWYbd1qzPv0TTSYyuQni23neG9OyWQxvHo0Z9g,SUPPORT,39,18,15,5,2,4,4,54,86,BOTTOM,10,5896,0,5994,2253,0,96,42,0,1907,0,0,0,1,0,0,9,True
9,jjjooommmill,7,0,10,412,Thresh,322,2488,322,7419,1,False,False,6534,5750,UTILITY,0,0,0,3190,3855,2031,3117,3067,3024,3340,13,2,NONE,2,722,6960,2818,1725,4,0,0,0,0,0,4739,660,5854,4626,mMdhNTUPSJBjRWRy9CXxtCuMGbpSkONtA8_hp0ne3dxj5YqtAVG40ZHPVA7RCBltL1p3SRTMBz4T3Q,SUPPORT,33,12,13,2,4,54,3,4,180,UTILITY,21,4115,1363,7637,1060,399,24,54,30,5215,636,56,1,1,0,0,6,True
