,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,stoeo7,6,0,14,6,Urgot,1142,4533,1142,19286,9,False,False,10093,9330,TOP,0,0,1,1055,3748,3071,3047,3123,1036,3340,18,4,NONE,0,230,157,0,1604,4,0,1,0,0,0,62895,10932,18813,3889,UsVc1ndwANKn_gTaIo8EVlapT40iNlVX-vJ0vdN53vkf6hkPVTcIHo3tGn0Oz5fG1OfGJ2BtrzMV2A,SUPPORT,17,58,18,5,7,54,6,4,340,TOP,17,12051,0,21956,894,0,78,49,291,1118,1118,1538,0,1,8,0,7,False
1,Shucatt,9,0,13,68,Rumble,121,9541,121,15075,10,False,False,8779,8535,JUNGLE,0,0,1,6653,3020,2031,4637,1052,1029,3340,17,3,NONE,3,287,55844,10217,2341,51,0,1,0,0,0,11475,853,22544,4022,mIuA5qOxieE7nHKwXFFJYM90VPgXyiu6Kr-KMiZQjLYbxrYEz0dXGqBZCffx7TPeLiJZksYWejWTTg,SUPPORT,48,59,64,8,9,11,2,54,122,JUNGLE,8,11822,0,26530,5042,0,8,205,272,4746,752,1643,1,1,8,0,7,False
2,jjjooommmill,9,0,14,142,Zoe,2325,2325,2325,6484,7,False,False,10918,9525,MIDDLE,0,0,1,2033,2421,3020,4628,3191,6655,3363,15,6,NONE,2,281,53486,15672,2559,0,0,1,0,0,0,8108,1589,14742,4626,mMdhNTUPSJBjRWRy9CXxtCuMGbpSkONtA8_hp0ne3dxj5YqtAVG40ZHPVA7RCBltL1p3SRTMBz4T3Q,SUPPORT,131,10,27,19,9,54,5,4,180,MIDDLE,33,19050,0,19617,6066,2126,82,107,243,2436,1789,2315,0,0,8,0,19,False
3,Guolin,6,0,13,18,Tristana,5911,8315,5911,9012,5,False,False,14812,13750,BOTTOM,0,0,1,3006,6672,3140,3095,3072,1038,3340,21,13,NONE,6,657,16615,4564,1683,0,0,1,0,0,0,60899,16762,16111,3018,VceWVxgi34s8PiZ4iKK1reKoU0ZFGX9SLQt6gqpBtMWeaTOy-7kL2DL-y1olIIczGRoUwl4Umw81ZQ,SUPPORT,23,25,29,5,27,54,5,4,76,BOTTOM,7,24844,0,19559,4537,0,91,65,178,6879,3518,1764,2,4,8,0,10,False
4,Ayayayayayayaya,8,0,12,147,Seraphine,1808,3880,1808,4773,7,False,False,10707,9750,UTILITY,0,0,1,3853,6653,1056,3158,3089,3145,3364,13,4,NONE,2,277,46605,11054,877,4,0,1,0,0,0,5429,2527,11661,3840,Ft5yo5OxUl4uLRI1oTWL19ZiyPo3jUBJ7rXGw9gGet6CV7ZkNooxGu61d_rmNL4YDUcWJfh0ByOi0A,SUPPORT,59,22,33,6,5,4,10,54,120,UTILITY,11,13920,1736,13505,964,146,34,94,202,338,338,966,1,3,8,0,13,False
5,Stelie,6,0,17,122,Darius,7896,14456,7896,25164,2,True,True,17205,14833,TOP,0,1,0,3078,3067,3111,6333,3053,3742,3340,18,12,NONE,7,522,150,0,8486,28,0,0,1,0,0,135822,22789,11475,658,MDw_vTG0idzXRozr6YlePj74nthNz4oerpw0OdZRcP_QIBFvSwghqa1ushaiZkUCiXe0jamY0o2gvw,DUO,69,62,23,10,22,54,5,4,239,TOP,24,28513,0,23552,11547,0,112,184,69,14647,5723,3591,2,4,4,0,7,True
6,Cowehh,4,1,15,203,Kindred,1967,14493,1967,8919,5,False,False,14855,12450,JUNGLE,1,1,0,6676,3006,6672,3095,1053,1043,3340,14,11,NONE,4,404,12216,2506,11141,68,0,0,0,0,0,81989,14312,10518,3158,Kk1xcwcBVoGXDwXOC4SLMm5VwaiB5SnzsuGcnFmK1c2_OA_iCvLRkaMbX90UYwL8m5DgPELkLMi_uw,SUPPORT,85,24,39,3,12,11,5,54,271,JUNGLE,6,18433,0,22695,12944,3779,32,118,148,16007,1613,1036,3,3,4,0,12,True
7,noodle5319,2,0,13,45,Veigar,2489,2489,2489,7198,9,False,False,8370,7645,MIDDLE,0,1,0,2423,1058,2031,6655,3020,1058,3340,14,1,NONE,0,349,34567,4275,6000,0,0,0,0,0,0,11505,1652,9965,4922,6Jhipnz83GltVgbPcQRVlVIWgABviAdz7AKXM9LGySSokLFqOpE5ZQB58fAqSCtBYj_WFYjmF2HKlw,SUPPORT,65,12,20,3,6,54,5,4,156,MIDDLE,8,5928,0,16821,198,0,53,41,237,0,0,855,1,3,4,0,12,True
8,Fist The Elf,9,0,15,21,MissFortune,4452,5827,4452,6212,8,False,False,13183,11650,BOTTOM,0,1,0,6691,1036,3006,6676,6695,3134,3340,22,6,NONE,2,165,4973,1838,8302,12,1,0,1,0,0,77171,20083,7718,4850,JRxO6P9A39BeTxpKqpBMvHiAyZuMu00715GIRwAXgqOX_duIVqBY1C80GNctNAm0StV4xdUTnz1C1g,DUO,59,29,26,4,5,4,12,54,280,BOTTOM,14,22104,0,16996,3059,0,95,137,221,207,181,975,2,3,4,0,20,True
9, Mass Cönfusion,9,0,15,555,Pyke,517,1053,517,12194,6,False,False,13205,10700,UTILITY,0,1,0,3855,6693,3142,3117,3742,0,3340,19,8,NONE,3,288,1602,445,10346,0,0,0,0,0,0,17174,9058,8983,5002,ktkZSwoihiwI3U-tv7wIIVXYDl_o4pGoESDdaM_SmLRdWA87wT6md3WxI2DdLtQ7kQrYJH_v81KUjg,SUPPORT,33,28,27,5,3,4,23,54,346,UTILITY,20,10214,0,21459,6761,0,21,83,123,8384,710,2130,0,1,4,0,12,True
