,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,KaisersUncle,12,0,18,82,Mordekaiser,8343,24296,8343,66132,6,True,False,19556,16500,TOP,0,2,0,3075,4633,3157,3047,4637,3065,3340,23,14,TOP,4,636,212413,37953,16257,18,0,0,1,0,0,25979,3898,33078,3493,NMP-nWxAmjpxVIMBvx2kmJ9bbXWNuPmmoWNC_Lfcmu8bNqFHu5J7J1CmrWUhm90BejRlUXccDFmFqw,SOLO,170,21,75,14,5,12,5,4,222,TOP,7,49213,0,52853,19444,0,202,85,253,23862,7361,3517,5,8,5,0,16,True
1,Kenny Bot,9,0,17,7,Leblanc,591,6176,591,19803,11,False,False,13894,13900,MIDDLE,1,1,0,3089,3157,3020,6655,3135,0,3364,19,10,MIDDLE,4,357,77330,25212,11286,8,0,0,0,0,0,11712,1322,22061,4027,BDf7X3p_IhiWt0ml5Uh8As-TU9coHY0Q4clyt8DxU5e7iTmA7LeGCpbkjPjhHXc3rU0o_YxhwTLkpw,SOLO,50,143,44,29,5,14,5,4,120,MIDDLE,14,27738,0,34669,7537,0,122,25,385,24365,1204,1322,0,1,5,0,31,True
2,HODL AMC 100k,13,0,18,121,Khazix,1252,48167,1252,35431,13,False,True,19326,24485,JUNGLE,0,2,0,3814,6693,3142,3158,6676,3026,3340,34,12,JUNGLE,3,575,12474,3132,10728,158,0,0,0,0,0,267099,35319,39192,3779,-tYuIWusARoLkdDwj0bJ8LLVB66ir0xQS5bTsXiUEsf44XQRrfPT4cuffpil_8oQgaDJiMrCp9JXSg,NONE,217,111,58,35,5,4,18,11,449,JUNGLE,17,40490,0,52741,23078,0,96,416,512,20797,2038,2820,1,2,5,0,33,True
3,Donutgodd,12,1,18,523,Aphelios,5510,20522,5510,20024,6,False,False,19240,17120,BOTTOM,1,1,0,1038,6671,2421,6676,3006,3031,3340,28,18,BOTTOM,8,689,5524,3417,8783,28,1,0,1,0,0,256260,46830,24074,4862,_B81VxuEEu5vy_O4ZYjDQk6TlO04XTnNvYyL1VMtNo-niokjjY2M6cnvbfi2QrQ-2Pm-zirj1RjdCg,CARRY,151,321,0,15,9,7,6,4,109,BOTTOM,30,54694,0,33744,9796,1147,217,197,228,13336,4446,886,3,5,5,0,38,True
4,COOMFORYUMMI,20,0,17,12,Alistar,697,2550,697,51443,7,False,False,10483,9400,UTILITY,0,0,0,3860,6664,1011,3047,3075,3067,3364,28,1,BOTTOM,0,483,39036,11938,11019,0,0,0,1,0,0,6448,971,25293,4572,2d8WLlHDRhDvKBmAR94uXnGcUPVKPul2GctA4H0zW-keXcBnJKbqa1AKBAx_9zY3Uwhu8Ke6aZakmg,SUPPORT,48,32,24,10,10,14,5,4,482,UTILITY,66,15214,0,38319,21062,13826,52,136,227,10991,2303,2006,1,3,5,0,80,True
5,IEKUEI,6,1,16,35,Shaco,0,9308,0,18632,14,False,False,15252,15485,JUNGLE,0,0,2,3508,6631,3153,6694,3158,1031,3364,39,12,JUNGLE,5,481,43719,11315,14360,115,0,1,0,0,0,96077,14604,27799,4835,k0nR9l5sMPWEfJ_H_o7Hj5Zhbrc_29qQx1fVEZS_TSaPzLXm0FNCQsaHS4TTk8IeV27sUT3w1Qca5A,NONE,70,71,65,163,17,11,7,14,687,JUNGLE,47,28073,0,44274,6683,0,54,1150,584,12251,2153,2114,0,0,10,0,31,False
6,VisionaryShadow,9,0,18,887,Gwen,3688,10546,3688,30299,15,False,False,13631,14800,TOP,0,0,2,3115,3157,3111,2055,4633,3067,3340,30,3,TOP,2,330,62477,11190,19314,8,0,1,0,0,0,66800,6559,21022,913,i0b0sEK3rjai3kmdDAQzDHy_hvKOLX9b8aMnFw84fHGlxXJfC_xvN8GgXY_Fgypzo32qWne6KKZXtA,SOLO,96,34,77,36,4,12,8,14,84,TOP,8,23368,0,43412,8591,0,199,125,523,33421,5618,3074,2,2,10,0,23,False
7,jjjooommmill,12,0,18,91,Talon,1353,6935,1353,33639,12,False,False,17835,16650,MIDDLE,0,0,2,6691,3026,3071,3053,3158,6694,3364,25,15,MIDDLE,3,504,0,0,25158,16,0,1,0,0,0,175687,37505,25998,4626,mMdhNTUPSJBjRWRy9CXxtCuMGbpSkONtA8_hp0ne3dxj5YqtAVG40ZHPVA7RCBltL1p3SRTMBz4T3Q,SOLO,68,128,262,18,8,14,7,4,180,MIDDLE,15,39223,0,56185,15334,0,196,335,459,7077,1718,5028,0,0,10,0,17,False
8,Coffee Cups,12,0,18,81,Ezreal,5137,15297,5137,14103,8,False,False,16040,13950,BOTTOM,0,0,2,3042,6632,3158,6694,6609,1053,3340,20,10,BOTTOM,3,662,52727,20427,12879,16,0,1,0,0,0,186507,40656,22245,4689,iWCiNtloWdHXbspGloikIAIemnq77eL3VdDalTqnbBH60-eF-yF21wEGXNeyEt9mEJfyPCvCYjeX6Q,CARRY,477,84,47,28,6,4,7,7,450,BOTTOM,15,62146,0,37661,6917,924,209,235,311,8804,1062,2535,1,1,10,0,22,False
9,rejou21,17,0,17,53,Blitzcrank,977,3122,977,39759,6,False,False,11075,10600,UTILITY,0,0,2,3860,3075,3190,3001,3111,3067,3364,25,3,BOTTOM,0,574,23474,12419,12454,0,0,1,0,0,0,9424,3628,16270,4902,oCc0q0V65V_RphGv0QB9Wua3aO-V_fFBnJRhf7XWUAdXDABG-YXYnMzQrMwlZ0GaQ-AggVXY6UYvpg,SUPPORT,49,26,43,21,6,4,10,3,151,UTILITY,68,16047,2573,33326,5037,975,52,162,222,6403,0,4601,1,2,10,0,92,False
