,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,AndNowImThresh,9,0,18,17,Teemo,5167,5266,5167,7613,8,False,False,16692,15810,TOP,1,1,0,1058,3157,3135,4637,3020,6653,3340,25,6,TOP,2,427,124144,41958,19915,4,0,0,0,0,0,16619,1823,3622,4864,jDv0N23nOLXXMqnVuXkeXZpwnCLtr0yd2QykcOaaNCSIhHjoTMcJSDu7HfC5c4-pjG-19JI--ZmE9Q,DUO,68,42,0,72,7,4,34,54,261,TOP,46,45812,0,24205,1139,0,130,611,360,9000,2030,667,1,3,5,0,14,True
1,poig,14,0,17,154,Zac,481,14382,481,67764,14,True,True,14563,12550,JUNGLE,0,0,0,3068,1057,3111,3065,3066,8001,3364,23,6,BOTTOM,2,199,86802,17988,36734,67,0,0,0,0,0,13583,1702,17219,4960,3FRtmNMip0lki4yLsmvg-zWU2F0SolbrhbLNrwC8s1WX7wL4mMUh1QupJtiH1oH7svSx8BUY1SFqPA,DUO,65,174,81,12,11,54,30,11,437,JUNGLE,58,22259,0,65790,45564,0,32,320,513,17736,2568,11836,1,3,5,0,25,True
2,jjjooommmill,11,0,18,517,Sylas,1845,5542,1845,22881,12,False,False,17348,13860,MIDDLE,0,0,0,6656,3165,3157,3020,4629,1058,3340,22,9,TOP,3,244,111774,18868,33527,24,0,0,0,0,0,11913,4727,9720,4626,mMdhNTUPSJBjRWRy9CXxtCuMGbpSkONtA8_hp0ne3dxj5YqtAVG40ZHPVA7RCBltL1p3SRTMBz4T3Q,SUPPORT,55,64,133,13,11,54,7,4,181,MIDDLE,31,23765,0,45795,10808,0,88,285,405,11257,170,2547,1,1,5,0,11,True
3,Símply,19,0,18,50,Swain,4252,5705,4252,16940,15,False,False,16099,14400,BOTTOM,0,1,0,3040,4633,4637,3020,3089,0,3340,19,9,TOP,2,202,108099,31046,39939,12,0,0,0,0,0,21625,4240,12417,5021,ofvXT5iqMTuAS1MG4_gvzhbWhOo54kTqQZlFFA8XCXerrFh-M2DDeWNWnRNFh2ejW7AI0Ns7ie1UgQ,SUPPORT,94,46,49,19,8,4,19,54,300,BOTTOM,46,38705,0,55463,16580,0,111,174,545,6693,3417,3106,0,3,5,0,18,True
4,ImFatHelp,11,0,17,35,Shaco,2191,5408,2191,18102,12,False,False,18134,16250,UTILITY,0,1,0,3157,6653,4637,3158,4629,3165,3340,23,11,BOTTOM,3,398,77637,27266,25247,4,0,0,0,0,0,5597,953,5364,2074,zYUruDGb_klERyXaPGng6PCUXNVM4_ZOSdtwhbI_Db0_3z5uc-B9YfXk5oYmU1g-xfuFg3Rja5owNA,DUO,63,63,62,13,12,54,8,14,359,UTILITY,36,29498,0,31601,1472,0,49,430,469,4014,1278,989,2,2,5,0,17,True
5,jxhuxyez,8,0,18,82,Mordekaiser,1678,9810,1678,71484,8,False,False,21537,16475,TOP,0,0,1,4633,3111,3115,4637,3065,3157,3340,25,21,TOP,7,429,157771,46350,43603,12,0,0,0,0,0,20705,4712,11943,3543,0mdjNEHc0Cu3ewE4DnFSnXRT3CzDWdOP6SOkucORidfywnlnb4jHkREUa46Uv1hGrEKnMBfiI3feYg,SOLO,139,34,52,11,7,4,24,54,32,TOP,9,58762,0,60965,27503,0,147,58,357,11970,7699,5418,1,1,6,0,14,False
6,Tinma Dog,17,1,18,131,Diana,2365,31635,2365,83257,7,False,False,25928,23180,JUNGLE,0,0,1,4636,3157,3089,3135,3111,3102,3364,26,25,JUNGLE,15,792,266434,65000,39426,116,0,0,0,0,0,26377,5593,10461,4027,WLAvP_gwcEU2Ec_fep5kBnib5AfLKqPcm06iadHPktSXdJK4PU-0PmVPZTbd8ETSccyaBUPpml8UyA,NONE,135,71,107,16,25,11,33,54,281,JUNGLE,25,77353,0,54608,26211,0,72,313,274,18020,6758,4720,1,2,6,0,26,False
7,AlexTrinity1983,10,0,18,25,Morgana,3401,4686,3401,15624,12,False,False,15685,14400,JUNGLE,0,0,1,4637,6653,3158,3116,4629,1058,3340,22,9,MIDDLE,3,523,85121,18347,28707,8,0,0,0,0,0,10937,1106,4910,4569,DpUZ4bwDlPstLj6G-rt34LKFqWRu86WeF29CHzNRPlAjsiL-QUOpJO-3s9nePSdEthQqYfqH1adTgQ,CARRY,38,64,17,9,9,14,7,54,145,MIDDLE,50,22093,1579,39512,3020,0,79,258,420,11716,2639,5894,2,3,6,0,15,False
8,KwttyCat,8,0,12,81,Ezreal,0,2421,0,2333,5,False,False,9321,4800,UTILITY,0,0,1,2031,6632,3070,3158,0,0,3340,11,1,BOTTOM,0,163,4886,1449,5612,4,0,0,0,0,0,11122,3567,1539,4367,32zJ2kpOTIp7qDAbkOVl-yrbXI7wFQck8oIsCg6yAjLdrGQcmbkavYDSAatBcigSxmivnBMUaZtb1w,SOLO,57,22,10,3,3,7,9,54,117,BOTTOM,0,5496,0,7386,1205,354,16,0,102,479,479,234,0,0,6,0,7,False
9,Serenixxx,22,0,18,99,Lux,0,1049,0,9886,9,False,False,13670,12150,UTILITY,0,0,1,3853,2031,6655,3157,4628,3135,3340,18,5,MIDDLE,2,670,58327,22972,21612,0,0,0,0,0,0,3896,1207,2337,4655,0t0_69rh2aH1zTpQwUJfLGgX1LGO_NTMa9sr_NhGuHkTwEqRIaflKwgG3prKTqKwRWCfxjHWinJY1w,SUPPORT,50,41,112,16,5,4,10,54,110,UTILITY,47,24218,4054,26600,5211,0,31,168,219,290,38,2649,0,0,6,0,14,False
