,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Hanumanji,5,0,12,39,Irelia,6118,12088,6118,8898,1,False,False,10195,8633,TOP,0,1,0,3153,3111,3078,2055,1037,0,3340,16,8,NONE,7,736,9491,3371,3544,11,0,0,0,0,0,66167,8694,11705,4895,yRPs61A15y66cIDO2BTbupg9pAMk_wx8HcvUYV3rQL8FTI5nuPZj9mwMTW7y3VnWvR1rbFO-ncXPWw,DUO,112,11,28,3,2,12,3,54,262,TOP,9,12138,0,15249,4229,0,92,50,35,1678,72,0,3,3,0,0,3,True
1,jjjooommmill,5,0,11,76,Nidalee,452,7934,452,4612,3,False,False,8795,4150,JUNGLE,1,1,0,2031,4636,1001,0,0,0,3340,10,6,NONE,4,257,40842,7988,1889,55,0,0,0,0,0,6754,212,9008,4626,mMdhNTUPSJBjRWRy9CXxtCuMGbpSkONtA8_hp0ne3dxj5YqtAVG40ZHPVA7RCBltL1p3SRTMBz4T3Q,SUPPORT,102,104,69,91,8,54,10,11,181,JUNGLE,5,8549,0,11314,5181,381,9,38,72,6968,348,417,0,1,0,0,14,True
2,Matt Goes Hard,5,0,10,105,Fizz,1619,4966,1619,3273,4,False,False,9105,8900,MIDDLE,0,0,0,1001,2033,4636,3100,3108,3191,3340,11,9,NONE,4,263,26602,10775,1696,0,0,0,0,0,0,7530,2740,9027,558,ouQD8_YF3Xchoh5WIz-inoyaT--99ClNyeaj87yGc2b5QU2g2tBZUZ_2y3BbkOpJq6APx31MmxQeYg,SUPPORT,28,33,29,4,12,54,4,4,66,MIDDLE,6,13625,0,11603,925,0,29,105,103,2916,110,879,0,1,0,0,1,True
3,CptSegregation,13,0,11,81,Ezreal,4388,5508,4388,3431,1,False,False,10403,8075,BOTTOM,1,2,0,1055,6632,3004,3158,1027,0,3340,15,7,NONE,4,677,11039,4821,864,0,0,0,0,0,0,54165,9618,7618,4270,6eOlqic2Qetj38JV4daE_qVow3FNOdxo4K_QQlNKAO85tHTL_ET37v3MkKaR1eQ49rVxr74m-EXb3g,DUO,114,32,14,5,21,54,2,4,187,BOTTOM,4,14695,0,8780,2249,0,92,89,30,984,254,298,3,3,0,0,4,True
4,Green Riddler,16,0,11,235,Senna,2950,4369,2950,2673,0,True,False,9573,6350,UTILITY,0,1,0,3864,0,6632,3020,2015,3086,3340,10,6,NONE,6,0,4200,3230,390,0,0,0,0,0,0,21407,7997,5494,748,mCBBlCwlP8Gm40_7iDHU6AjSG5cXUT0bYm3h5OGOV2WjIHy1rUFoU6n2QeF-E1nJ4yYpCZbVLZbokw,SUPPORT,30,16,7,2,4,54,3,4,235,UTILITY,20,11227,165,5961,4743,1049,13,73,0,4410,0,76,2,4,0,0,7,True
5,TheB00g1eMan,2,0,9,17,Teemo,0,0,0,4348,9,False,False,6306,6170,TOP,0,0,2,3020,3115,1052,1026,1052,1027,3340,12,1,NONE,0,246,19454,5077,5906,0,0,0,0,0,0,7360,1515,6327,4657,I7XpJ6hIATjBaRrQpjKT70PywxPONpPCbfYjwtoIxP80r3dTK6JJF-LdlO_TTpXyGT-JfzlLxV54Bg,SUPPORT,12,23,0,11,3,12,4,54,129,TOP,10,6593,0,12258,568,0,34,169,223,1680,0,24,0,0,8,0,4,False
6,Kezrid,4,0,9,2,Olaf,0,1673,0,9592,5,False,False,6971,6500,JUNGLE,0,0,2,3158,6631,2031,1031,3066,1033,3340,16,3,NONE,2,259,4619,632,7242,41,0,0,0,0,0,37109,5939,8590,4922,3Dbm1_qYntOqsYjgvT-y3tZMTeRdLiFLIaB1xdo1-jIBUAFGy5nsCxf5Fq1xXs-AQpZuIr5MqspE9g,SUPPORT,54,12,10,3,11,11,12,54,253,JUNGLE,7,7945,0,16053,4590,0,6,249,131,5516,1373,220,0,0,8,0,6,False
7,Deku177ony,1,0,9,555,Pyke,0,0,0,6290,6,False,False,8395,8100,MIDDLE,0,0,2,1054,6692,3158,1006,3142,0,3340,16,5,NONE,2,182,0,0,9948,0,0,0,0,0,0,13198,6552,4721,29,nJpePVW1WADVORaCusx6eCXgEBWFT61m2-sbTLRXBp9CkIBtWp-t5zDjtppdjlu8DuPV6TJ9Y2rNmQ,SUPPORT,34,22,24,5,3,4,10,54,460,MIDDLE,9,6850,0,14804,2344,0,22,58,149,298,298,134,0,0,8,0,6,False
8,King is me,2,0,8,498,Xayah,507,507,507,5771,9,False,False,5598,5050,BOTTOM,0,0,2,6671,3006,0,0,1055,0,3340,10,0,NONE,0,157,0,0,4194,0,0,0,0,0,0,34725,8368,10276,7,wArkTgpsNfcjSCQb8s8M16w0jJ7k5PduId2paJt_ycw4qga6qTeoiTDjIVVpe9pbk7TQNWhI-br6eg,DUO,21,16,21,2,3,4,3,54,77,BOTTOM,7,8368,0,14630,1321,0,62,7,183,4230,0,158,0,0,8,0,4,False
9,BunnyoDeath,2,0,8,497,Rakan,151,151,151,9479,7,False,False,4597,4300,UTILITY,0,0,2,3858,3158,4005,1029,0,0,3340,12,0,NONE,0,214,5537,1406,3451,0,0,0,0,0,0,2179,394,8803,3521,fWCDIc6YELDjFo4Bv8bPy_BSEMS0NDjT1XF8VsK4OQso8TFZjc_fuQMGVHX8I_FqH-xVf49DCZ3bcg,SUPPORT,12,12,18,2,5,54,3,4,65,UTILITY,6,1801,1174,12502,1645,412,14,24,141,1393,0,248,0,0,8,0,7,False
