,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,LargestSilver,4,0,15,133,Quinn,1061,1488,1061,10873,7,False,False,10278,10850,TOP,0,0,2,6672,3006,3072,3086,3123,0,3340,24,3,JUNGLE,2,585,226,0,5659,4,0,0,0,0,0,66118,13929,13497,4216,RQBbGIjsr5wvT0MoKS-WXxbGQxq0qWtGnMDkPeYCRpTYx7Z3e6VknQ3-UGDFKfLjBinEVmQ34W4mhQ,NONE,40,15,27,7,4,4,10,54,276,TOP,30,14887,0,20464,3162,0,97,102,237,3010,958,1307,1,1,8,0,8,False
1,UninstallNow126,4,1,15,59,JarvanIV,817,14325,817,17343,7,False,False,13595,12350,JUNGLE,0,0,2,3006,6692,1018,3142,3036,3123,3340,23,10,JUNGLE,4,721,13062,1955,5194,68,0,0,0,0,0,71995,15178,15818,4589,zPqOpcx5zjeAd6QReqmmJrec9uT0tth6659rYksBC2I2hT4ZcLJ_rRDsrngDaZS6pHPlClYagxWLLQ,NONE,48,43,46,9,16,11,5,54,72,JUNGLE,24,18277,0,21801,5219,0,29,476,240,8169,1143,788,0,1,8,0,24,False
2,VanillaWilly,6,0,15,74,Heimerdinger,1236,8030,1236,5648,6,True,True,13659,13450,MIDDLE,0,0,2,3040,3020,6653,4628,3157,0,3340,19,7,TOP,3,384,89631,16500,4647,8,0,0,0,0,0,8690,1246,8444,4976,pnUyemNfoXBGhuZFBvABvno4kD3ktiidLIIHPep1sEaDPRbun4qMVnmOOE4T5R7QhF6W3ysf0Y6r-g,SOLO,62,48,24,9,6,54,2,4,266,MIDDLE,22,17746,0,13653,783,0,112,170,219,0,0,561,1,1,8,0,11,False
3,Puncha,3,0,13,157,Yasuo,1473,2350,1473,15355,10,False,False,12007,11200,BOTTOM,0,0,2,3031,3046,3006,6671,0,0,3340,19,7,BOTTOM,3,204,6390,1478,8842,4,0,0,0,0,0,73903,14567,12499,4568,LVNwWGDpB7hpN2vGXXxaWPbeT4sNyMVyWgRKPLn5HRHGeXCv-WRtikrCpD7uKu1pSvBUCV2FKJ2ccQ,CARRY,137,14,69,5,3,4,9,54,321,BOTTOM,16,16086,0,21872,3753,0,85,100,288,866,40,529,1,1,8,0,7,False
4,Pieck Is Mommy ,6,0,13,101,Xerath,505,1801,505,6357,11,False,False,7068,6650,UTILITY,0,0,2,1082,6655,2031,3158,3145,1058,3340,14,0,BOTTOM,0,200,36833,6545,5692,0,0,0,0,0,0,2991,174,10468,4932,zBrqj9s6wjbLhPuzYnDsFb3nCpWpdPDnq_Fs3W0XdK8RvXGWzbgLUVVFzjraPiR7138NvDn8SF_UOw,SUPPORT,38,28,26,17,8,54,4,4,198,UTILITY,14,6720,0,17045,0,0,34,116,277,0,0,884,0,0,8,0,12,False
5,thebest117,0,0,15,86,Garen,5498,10182,5498,16418,4,False,False,10053,7750,TOP,0,1,0,6631,3006,3033,1031,0,0,3340,12,3,TOP,2,506,2515,1115,249,0,0,0,0,0,0,72990,6019,16984,1635,nZBVC6XbfNbua8g43AJdKiI6EvWzcu971YlGCKQQMkOMAdW8nFAD8ZD7qvnKiUn_vFMO6O2f2uG3-g,SOLO,24,13,23,4,15,54,4,4,40,TOP,13,8310,0,17986,1201,0,92,34,138,4310,1175,751,2,2,3,0,5,True
6,CuddlyJellyFish,10,0,16,102,Shyvana,1150,11322,1150,14764,5,False,False,13185,10725,JUNGLE,0,0,0,3115,3158,4633,4637,0,0,3340,15,7,JUNGLE,4,386,108132,14780,9549,94,0,0,0,0,0,32065,2074,17934,3860,KROnQaf_CwHdVnMALbp_1KW389bffcsNm4Ysc5n9FXouvgkdn2lD3OgKeYez0s3P0RqiXk4qgpTT4g,NONE,75,81,67,11,6,54,14,11,284,JUNGLE,2,19140,0,27977,8638,0,48,101,161,15326,2284,493,1,1,3,0,23,True
7,jjjooommmill,6,0,14,157,Yasuo,1915,9585,1915,13303,12,False,False,9987,9750,MIDDLE,0,0,0,6673,2031,3031,3006,1053,1018,3340,18,3,MIDDLE,2,187,4988,577,7634,20,0,0,0,0,0,74443,3918,12653,4626,mMdhNTUPSJBjRWRy9CXxtCuMGbpSkONtA8_hp0ne3dxj5YqtAVG40ZHPVA7RCBltL1p3SRTMBz4T3Q,SOLO,102,9,61,1,7,54,4,4,180,MIDDLE,3,4496,0,20556,1690,0,57,125,339,0,0,268,1,2,3,0,7,True
8,imma melon,8,0,16,360,Samira,8521,13278,8521,20931,5,False,False,20883,18075,BOTTOM,1,2,0,6673,3139,3031,3072,3006,6676,3363,24,24,BOTTOM,12,434,15432,4778,7455,32,0,0,0,0,0,136693,33437,22024,4568,oiGzw3oo39-9jzj-dNdAO4bgMGXOhNJ5bW4M89uwxwywB3qo6t0N9QrPcCYsO08NO6IzJ_7PUrRQEA,CARRY,95,18,33,5,4,4,12,54,228,BOTTOM,2,38744,0,30106,3546,0,113,25,142,4371,528,627,3,5,3,0,12,True
9,Ari,32,0,16,350,Yuumi,3437,3639,3437,2590,1,False,False,12009,11375,UTILITY,1,2,0,6617,3041,3853,3504,3089,3114,3364,18,4,BOTTOM,4,329,17902,7603,3894,0,0,0,0,0,0,2154,1024,2177,1428,xP_8qBJEzvUlP5oyyMu8j2HBLSW7cOWjizAWnBdMTo0WOahuTsLQ3xLHsGfjmg6RHTH66HScwqTPhA,SUPPORT,33,85,81,5,9,54,6,3,657,UTILITY,19,8712,5420,6071,15003,12281,8,46,22,112,84,0,1,5,3,0,43,True
