,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Hutman,7,0,15,31,Chogath,4125,8251,4125,37015,7,True,False,10472,9400,TOP,0,0,2,6662,3047,4637,3076,3066,1028,3340,19,4,TOP,3,877,100773,11445,8896,18,0,1,0,0,0,31185,2778,25550,3379,wyene5xK0cvkEap2HH31tEzHAA5wXxV4AXAC-Wio8ltYH_1egoN-iFLeDR2oAhF6LyTgwuE0dj0Gwg,SOLO,62,18,63,10,3,12,4,4,172,TOP,63,15585,0,38248,7230,0,162,1495,244,9240,1361,3801,0,0,9,0,12,False
1,One Sexy TEEMO,4,0,12,36,DrMundo,1363,26831,1363,22490,6,False,False,9379,8550,JUNGLE,0,0,2,3047,3065,0,1028,6632,1029,3364,19,3,JUNGLE,0,743,46832,4671,6781,116,0,1,0,0,0,77213,4390,24501,776,2jUqJKLcI2WxQ3vw-B6ZYNnp-oea1nA-0MWrt5HCwoKqF5132bC2hT5ROLRgwbxsX8WoiemVCW8VLA,NONE,139,52,79,9,4,4,16,11,151,JUNGLE,5,9498,0,32922,18415,0,23,310,202,13653,436,1640,1,2,9,0,12,False
2,ImSophiee,5,0,15,55,Katarina,1145,1145,1145,9834,8,False,False,12191,12485,MIDDLE,0,0,2,4633,3115,2420,1058,3020,1058,3363,28,8,MIDDLE,3,377,99493,14597,6275,8,0,1,0,0,0,13669,886,13374,4561,h-BFDekaQ1PyOyhO-d7x07tsdqP5YlpdQme6Uv_tntXWZsqnYOFjqjaBqUjbSJxB3sZm_qTr4GTagg,SOLO,79,52,0,6,4,14,2,4,70,MIDDLE,2,16444,0,21272,2536,0,158,15,208,1001,960,1622,2,2,9,0,21,False
3,TUBUuNTU,9,0,14,222,Jinx,5333,13866,5333,10225,7,False,False,12625,12150,BOTTOM,0,0,2,2033,3026,3006,3033,1053,6672,3363,26,10,BOTTOM,3,450,984,676,3804,4,0,1,0,0,0,133078,26839,14593,4413,_onTwYwrBn-HNRmnPXpknKTGknMOlBE_prhSI3RnrAe3V1rQRBCsHVr2FiopJYdF-GPvW680H_EoVw,CARRY,96,64,18,8,6,7,5,4,148,BOTTOM,21,30004,0,20186,3817,817,180,151,183,10282,2488,1788,2,2,9,0,24,False
4,Green Immortal,16,0,12,111,Nautilus,296,2668,296,25953,6,False,False,8267,7825,UTILITY,0,0,2,3857,3109,2055,3001,3117,3076,3364,28,3,BOTTOM,2,692,8530,5996,5883,0,0,1,0,0,0,9535,2968,18251,3478,Ux_ocg97Kdub3FthZuIckbwZYHl7jxeksorJh4L_4UZX8gXK5Lf3chx3CKR06r4l64eoVspvy2oEoQ,SUPPORT,28,28,26,9,6,14,3,4,236,UTILITY,58,9985,0,26902,2026,0,32,223,155,7765,1020,2767,0,2,9,0,49,False
5,tempdnpjtfkdqspb,10,0,15,875,Sett,6040,11515,6040,23769,7,False,False,10661,9375,TOP,1,2,0,3111,3153,6630,1055,3076,1028,3340,18,4,TOP,2,435,321,273,10762,11,0,0,0,0,0,108442,16603,17563,4762,o4nsqEXRMy__b9B9e_cKgDtk7FyaL6s13qLb12rER7YlYTGjVQRA3l57DDUCkDl8kDdCLSkNY5cBIw,SOLO,73,27,35,7,5,4,5,12,146,TOP,21,19700,0,30017,5775,0,152,154,205,15380,2822,1690,2,6,5,0,16,True
6,BossTopHat,19,0,15,48,Trundle,7114,17147,7114,24094,7,False,False,11556,11000,JUNGLE,0,2,0,6632,3153,3009,3051,1057,2055,3364,23,5,JUNGLE,2,537,6578,3494,12413,100,1,0,1,0,0,97062,19452,27754,4448,jSmIWxpZUFf93bsOFwuttfN8sYdLtmF4dBQMWuEMWpUdJo6y1DowRAiCtf_NVyABNvEUFZB0V73_MA,NONE,139,64,26,10,18,11,4,4,166,JUNGLE,22,25485,0,42277,19281,0,19,339,207,7449,2539,2109,3,6,5,0,34,True
7,jjjooommmill,14,0,15,142,Zoe,3317,11858,3317,4816,3,False,False,10796,8900,MIDDLE,0,2,0,4628,2033,2420,3020,6655,1029,3363,18,6,MIDDLE,3,802,93913,20005,5774,8,0,0,1,0,0,16509,2612,5284,4626,mMdhNTUPSJBjRWRy9CXxtCuMGbpSkONtA8_hp0ne3dxj5YqtAVG40ZHPVA7RCBltL1p3SRTMBz4T3Q,SOLO,244,20,43,33,5,14,3,4,181,MIDDLE,29,25677,0,12207,3226,337,163,125,117,6514,3059,1149,1,6,5,0,28,True
8,Carmen Peterson,5,1,15,145,Kaisa,9964,18745,9964,7306,6,False,True,14886,13175,BOTTOM,1,2,0,6676,6672,3006,1037,3036,1038,3340,20,15,BOTTOM,5,370,14889,5064,5005,23,0,0,1,0,0,134516,16210,9240,7,iJPXhhC9VRoNdmN6Cj-PxsjnkhJ_HS1G60aHa3yavvSIu7lU-GF9t4h1_Yt5FIzPwP_zOvybACCWAg,CARRY,70,45,34,7,4,7,4,4,387,BOTTOM,1,24286,0,14717,4171,351,176,10,166,10917,3010,471,2,8,5,0,15,True
9,Ehmryvfa,18,0,13,235,Senna,1830,2401,1830,6111,5,False,False,10121,8925,UTILITY,0,2,0,6632,3133,3864,3033,1028,3009,3364,23,4,BOTTOM,3,409,0,0,5260,0,0,0,1,0,0,25667,12126,8083,3543,G1ZaBfSQH_N8IiwNucEgsIUEZNlX81hQsPQY0qc-tdl3w2wvGc1Pd4ZVBhl76kFH0lGy8H5j6i1Kqw,SUPPORT,49,37,25,6,4,4,5,3,34,UTILITY,36,12226,925,14189,8590,4496,11,145,112,99,99,845,1,7,5,0,50,True
