,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,r1sse,6,0,17,114,Fiora,7767,12778,7767,23249,2,True,False,13649,12425,TOP,0,NONE,0,6630,3053,3074,3047,3057,1029,3340,25,6,TOP,5,1325,993,333,4409,24,1,0,NONE,0,0,164959,9458,18264,2076,qcQQRxB_us9a-oxycLZHMpwRUQsGj549jgY2rZ0WlWT5nVz6iqZRg4D1o3ivBwR17T0Jx_KmqttA2w,SOLO,204,13,74,7,6,14,4,4,132,TOP,9,13932,0,23899,11399,1639,208,138,90,18422,4141,1226,3,NONE,4,0,29,True
1,LiquidDiego,7,1,17,5,XinZhao,2741,34083,2741,21968,8,False,False,17392,17245,JUNGLE,0,NONE,0,3508,2421,3072,3111,6672,6676,3364,30,20,JUNGLE,6,440,13674,1059,8342,166,0,0,NONE,0,0,189280,28594,19634,4832,OuGVJw0vjd-C0xx64tXQev3Bb4cYs62N_N6LOg-hC_S7mH-hdpATPz37DBT1cdESGzrPWr_jYasQOQ,NONE,81,112,0,14,5,4,18,11,132,JUNGLE,23,32512,0,29213,13599,0,47,478,226,18840,2858,1236,1,NONE,4,0,38,True
2,adelie,13,0,16,55,Katarina,4565,6816,4565,17127,7,False,False,12751,11950,MIDDLE,1,NONE,0,3152,3157,2055,3041,3115,3020,3364,23,7,MIDDLE,6,913,120726,15753,3986,4,0,0,NONE,0,0,13043,1437,18325,3154,4TKp3Dz47QJD3AsGvAY9QAkWsG1MPaKd58LMUAmAiX2C_6vq6LqxCcr_1VirKqShaPeoHk8JcmqMNg,DUO,86,64,0,9,3,12,4,14,482,MIDDLE,1,17874,0,23529,5633,0,187,45,115,1878,684,1217,0,NONE,4,0,14,True
3,splash2,13,0,15,202,Jhin,7316,16565,7316,5419,2,False,False,11747,10925,BOTTOM,0,NONE,0,6671,3094,1055,6676,1036,3009,3363,20,2,MIDDLE,0,486,8876,1412,1642,15,0,0,NONE,0,0,156670,13160,7777,685,4h1qp4pZj4Of7pVuhy5KleIH-gJvhq7PyTs1EkAWhyEhLmoS7F5-JAlAGNmxi6MigMLIsET2sgM8xQ,DUO,70,36,35,14,3,4,5,7,482,BOTTOM,18,14572,0,10446,5065,366,201,106,41,0,0,1025,3,NONE,4,0,30,True
4,Suddy,22,0,14,43,Karma,1714,4591,1714,10308,3,False,False,8858,8825,UTILITY,0,NONE,0,2065,3853,3107,3158,3110,2055,3364,23,1,MIDDLE,0,816,33346,11580,2059,0,0,0,NONE,0,0,4237,1235,10351,4862,W5dmdCLdACQJdJX3N7QHkqmJXDwK4rWHSnd_NDv2VyIqUkyOq4Lcq_whiCajGWjQIm-jgKdDRDiURw,SUPPORT,96,23,168,47,7,3,5,4,316,UTILITY,29,13185,6528,12554,2155,79,28,230,41,368,368,144,1,NONE,4,0,84,True
5,curtwonder,3,0,16,14,Sion,2295,3709,2295,23491,6,False,False,10822,10425,TOP,0,NONE,2,6695,6693,1053,3076,3047,3134,3340,18,2,TOP,2,399,12478,2447,5573,8,0,1,NONE,0,0,119494,11955,16474,4873,3q-XkTu1gGDCg3Mk1BQAiUrLW1_ZywtfyBk7RHbHKkpfTGeDmGd0TlggRccSBC-EaEYttRhw0MtX8Q,SOLO,75,38,36,8,3,4,2,12,383,TOP,21,14402,0,25140,2073,0,217,431,196,0,0,3092,1,NONE,9,0,27,False
6,LaFerrari,2,0,13,245,Ekko,0,18434,0,19740,9,False,False,9634,8685,JUNGLE,0,NONE,2,1043,3152,3020,1052,3041,1026,3364,19,3,JUNGLE,0,467,125268,8680,7240,138,0,1,NONE,0,0,25794,1543,25983,4567,kqMJhhpFeaCrtO-ZUSEDmUEeSECXqXI_RFN7BHNG4BDQWUCEIWdL_JMVpcInh0ntkhuzu2_zN54FsQ,NONE,103,29,65,6,3,4,11,11,298,JUNGLE,18,11110,0,34382,11475,0,41,496,304,12750,886,1159,0,NONE,9,0,8,False
7,Yassuo,4,0,16,157,Yasuo,2240,5930,2240,28006,11,False,False,14709,13575,MIDDLE,0,NONE,2,6673,3072,2420,3123,3006,3031,3363,26,10,MIDDLE,2,289,16168,2345,7579,16,0,1,NONE,0,0,191062,22683,17112,4073,IkksLE5FPdqCG5chCR1Ag84P5TjTntJHb4ORoHl9fEuDFTjsNBXPFocf687RHxenuOwLHvoQhTFi9Q,SOLO,220,19,160,7,5,4,7,14,365,MIDDLE,21,26275,0,27478,5797,0,215,120,380,1247,1247,2786,1,NONE,9,0,26,False
8,Little Waifu,3,0,15,523,Aphelios,2889,4808,2889,8733,6,False,False,13899,11725,BOTTOM,0,NONE,2,1055,2420,3006,3085,3031,6672,3363,17,7,BOTTOM,4,547,785,628,4862,16,0,1,NONE,0,0,157054,14668,10620,4842,aQUq-tjuUk60pAsAlYDFojqdMEwcmsx6cnJkaD-2q7urqsrZ8oeopKxhf4S19pi4Ugu62nC-SgdSLQ,CARRY,53,94,0,7,5,7,4,4,184,BOTTOM,10,17541,0,16071,5708,615,241,181,156,18662,2244,588,2,NONE,9,0,14,False
9,Onier99,11,0,14,412,Thresh,567,1386,567,13320,4,False,False,7336,6600,UTILITY,0,NONE,2,2055,3857,3190,3076,3047,3067,3364,27,0,BOTTOM,0,642,7844,3381,7112,0,0,1,NONE,0,0,5087,712,6811,2076,Fvy_YkmH-52OTje7h7gwOKc1e7Ww-BZd4d3q9biiJXSugmLGh11lLK5HbbvuNHAaL0BZ-mZ97RZQmw,SUPPORT,34,29,19,5,5,14,5,4,71,UTILITY,30,4565,3970,14350,1352,536,39,65,113,3734,472,426,0,NONE,9,0,72,False
