,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,OSU Cyborg,2,0,16,75,Nasus,4107,9010,4107,36167,4,False,False,12208,12025,TOP,0,NONE,2,3111,3211,3193,6632,3110,0,3364,26,3,TOP,2,803,67030,9732,10240,11,0,1,NONE,0,1,121201,11208,11787,4922,0_mjoLCVuGSENTjUg_krAX8BQ0czQfJLWTnxmn0QwVizW7ZRoxiCMT3jMC1P0MJmhwT-wEClWv5e2w,SOLO,176,22,80,8,4,12,3,4,636,TOP,13,20940,0,30795,3260,0,226,683,141,0,0,8767,1,NONE,9,0,21,False
1,Spooky,8,0,13,56,Nocturne,0,12526,0,14282,10,False,False,10860,10775,JUNGLE,0,NONE,2,6631,1037,2421,3071,3044,3158,3364,22,6,JUNGLE,3,296,11214,1002,14310,121,0,1,NONE,1,0,119824,11009,16312,977,YOP6bUurbkIqalZJoXhB4OZ8_WhSEwWwjQ6ldRWStlAcJ1O4TaMAry0r0Gqe4awnKU_XXSzeRUyQZw,NONE,71,15,58,19,4,4,17,11,180,JUNGLE,164,13159,0,32689,10225,0,27,590,306,13038,1148,2067,0,NONE,9,0,22,False
2,Ser Mighty Bacon,6,0,14,38,Kassadin,865,1283,865,12773,7,False,False,10111,11110,MIDDLE,0,NONE,2,3191,6656,3040,3020,2420,0,3340,20,6,MIDDLE,4,530,92178,20160,10384,9,0,1,NONE,0,1,16534,1237,10181,3623,kqamZCoIzGy84J5GYC4waQ-owQYlAPi3Wx3uQYXDVTbYR6R3fBaa4-IYE95jCxdNfnqyBs65-VjWtA,SOLO,72,99,66,137,5,4,4,12,354,MIDDLE,22,21397,0,22218,2256,0,156,153,195,0,0,1652,0,NONE,9,0,26,False
3,Yassuo,8,0,14,157,Yasuo,2236,2236,2236,19877,10,False,False,12138,11850,BOTTOM,0,NONE,2,6673,3123,3031,1053,1038,3006,3363,26,5,BOTTOM,2,372,13524,1636,10774,18,0,1,NONE,0,0,145976,15661,10161,4073,IkksLE5FPdqCG5chCR1Ag84P5TjTntJHb4ORoHl9fEuDFTjsNBXPFocf687RHxenuOwLHvoQhTFi9Q,CARRY,219,17,152,4,4,4,5,3,366,BOTTOM,26,17621,0,23488,4949,0,205,144,250,1040,324,2553,2,NONE,9,0,36,False
4,Solee,12,0,13,412,Thresh,248,372,248,16207,6,False,False,8370,8150,UTILITY,0,NONE,2,2055,3857,3190,3109,3117,3067,3364,30,2,BOTTOM,0,455,11662,6614,8030,0,0,1,NONE,0,0,4104,696,6792,4921,MjxLckYeLpT8GYq4rsSxIP_pdo4q5-SFRhGow1QTvNweRRuNlQFjydetECV1bmHD69p_R1NqJ5P28A,SUPPORT,42,27,22,19,4,4,6,14,353,UTILITY,31,8408,5162,16733,1118,544,38,86,109,4732,1098,1910,0,NONE,9,0,78,False
5,Shockey,10,0,17,887,Gwen,4926,10146,4926,20582,3,False,False,14565,14300,TOP,0,NONE,0,4629,3115,3165,3047,4633,1082,3363,23,10,TOP,7,908,80435,15429,9966,20,0,0,NONE,0,0,40352,3810,16016,4655,q38eJNrN3WWRX8BXzZQghjaXelsEWpjYkGxcPXudeRh8gBw01yl5zZZyhbAQzHAwK3rCCAgBBsVETg,SOLO,95,22,129,34,3,12,6,14,365,TOP,8,28131,0,26163,9412,0,222,105,66,34283,8891,180,2,NONE,3,0,16,True
6,Wishuwerehere2,15,1,15,163,Taliyah,210,22606,210,10646,9,False,False,11019,10550,JUNGLE,1,NONE,0,6655,3020,3157,1082,3102,0,3364,20,6,JUNGLE,2,344,122690,13595,7350,129,0,0,NONE,0,0,11503,807,14723,4873,wpSrEfFkuSt1P8QUIc0UcdWaXCSdBZPCmT7NfmErDm_emqFrk3JEHnBGvRrF3MGAsPkegw3h_vdQeQ,NONE,135,47,103,7,15,11,4,4,200,JUNGLE,13,15539,0,22382,7245,0,26,347,288,8322,1136,308,0,NONE,3,0,21,True
7,1v9 fkin machine,16,0,17,58,Renekton,5883,10930,5883,28810,3,True,False,14320,12175,MIDDLE,1,NONE,0,1054,6630,3053,3075,3047,3211,3363,21,8,MIDDLE,6,517,5711,2350,16343,10,0,0,NONE,0,0,149914,15669,19715,4974,V3YXGE0JBn3cXqkDUir9wpmoGoq-KtQu6v8Psk1l9lZ9SmCMm4LiuoByz0PpINsQTkFidr72-gC_Og,SOLO,84,43,86,10,4,4,3,12,142,MIDDLE,22,18413,0,37799,12187,0,217,66,88,12344,393,1740,0,NONE,3,0,20,True
8,pick me up,14,0,15,18,Tristana,13499,29000,13499,7788,4,False,True,14216,11850,BOTTOM,0,NONE,0,1055,2421,3006,3031,6672,3046,3363,23,10,BOTTOM,7,773,21224,1450,4980,35,1,0,NONE,0,0,140641,14695,11630,4803,K9uu6S6XGAUxaqXcJi7P8tvja2nI1DwfgJPe3JePTgBgY0jY0jNVjbREoAhFOkVHFdrcq_Cc5ic5jQ,CARRY,40,36,35,6,3,4,4,7,525,BOTTOM,11,19128,0,16875,7532,795,161,88,134,17618,2983,264,7,NONE,3,0,27,True
9,Menturio0,20,0,14,161,Velkoz,2793,7473,2793,3897,3,False,False,10582,9150,UTILITY,0,NONE,0,3853,6655,0,3916,3116,3020,3364,23,3,BOTTOM,3,368,70940,19689,2988,8,0,0,NONE,0,0,3653,883,5838,4810,7FikMov6h6lRQAYagZZQ2tYeoE1MsnagrMAazYpoT6F4K4krcII8OLUkgoWdXHhiCh58nNSlXxPDCw,SUPPORT,139,80,38,11,2,4,6,3,70,UTILITY,30,24100,0,8905,602,0,57,310,38,8355,3527,78,0,NONE,3,0,68,True
