,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,NoOneHasThisName,9,0,15,6,Urgot,4281,7204,4281,18241,3,False,False,11285,9900,TOP,1,NONE,0,1054,6029,3071,3748,3111,3067,3340,17,8,MIDDLE,7,445,0,0,9145,8,0,0,NONE,0,0,92005,16509,9433,3614,O0jBxoTz3qsVsW-Nd1QvCcm27gsFVvogoRNvzkWwc20D9DqNiCdyk67fWNQUFwq-h1KaE_igSFK1wA,DUO,37,204,17,10,3,14,3,12,638,TOP,18,17755,0,19557,3072,0,153,169,77,1562,1245,978,0,NONE,2,0,18,True
1,Garvin,11,1,15,131,Diana,6308,25000,6308,23157,4,False,False,14178,12200,JUNGLE,0,NONE,0,3157,1082,4636,3115,3020,3916,3364,20,17,JUNGLE,9,581,141181,18505,7525,133,0,0,NONE,1,0,21880,2986,12811,4786,0242Ifj5a4YoxlWC3YTJdz55xbwnRg0iDw7Yg8FdS6RxUS1FgnkwKGdODt0A-69dtHvQY67qLfpDHQ,NONE,98,61,65,9,3,4,14,11,187,JUNGLE,11,22062,0,20677,10263,0,33,126,92,7545,570,340,3,NONE,2,0,16,True
2,L Escape,10,0,14,42,Corki,2914,10686,2914,7779,8,False,False,10643,9325,MIDDLE,0,NONE,0,6673,2420,3508,3020,1037,0,3363,25,5,MIDDLE,2,229,93371,15162,7732,18,0,0,NONE,0,0,13149,1983,5810,4787,QNnQGuZpC4T6lgjvFsyVyR1GaoJ_nvtzdl742cXLZ0ddgfuI8zgrTsRjAQ1kfOXl2thwhrlG1FvQbw,DUO,48,34,36,92,3,4,4,12,422,MIDDLE,3,17272,0,14395,359,0,148,91,211,2259,126,853,1,NONE,2,0,16,True
3,Everknight,12,0,13,81,Ezreal,1781,2544,1781,6231,6,False,False,9462,8450,BOTTOM,0,NONE,0,3042,3024,3158,0,6632,0,3363,21,3,BOTTOM,0,568,7426,2619,5642,4,0,0,NONE,0,0,65425,7516,7460,1643,_C6N-aUkTpQaqnvtEZDsc-2MtlfKJn97kDCjiYObqx4VnHQYf2MkVTA6aXi9KRq9IxNRYPmUIoI2rQ,CARRY,183,25,23,8,5,3,2,4,38,BOTTOM,2,10136,0,13312,1119,0,137,16,124,2385,0,210,1,NONE,2,0,21,True
4,Danny Nguyen,20,0,13,25,Morgana,1874,3569,1874,5692,3,False,False,9614,8750,UTILITY,0,NONE,0,6656,3853,3157,0,3158,3108,3364,28,6,BOTTOM,3,548,22066,10085,4037,1,1,0,NONE,0,1,2138,1023,5398,3459,NlcPqGsq5DUcwZ-qRihZmVpi3ducSVNLGQnCIwYYF1fEYCRFgW_bV_OloOsSAsrP2u9-ZxT3gNeStw,SUPPORT,43,54,22,5,3,4,4,14,420,UTILITY,40,11693,1713,9550,2522,0,14,68,45,600,584,114,0,NONE,2,0,63,True
5,TTV StrawHatAni,2,0,12,82,Mordekaiser,1755,2410,1755,18606,6,False,False,8306,8750,TOP,0,NONE,1,4401,3047,4633,0,0,0,3340,15,5,TOP,4,597,54347,10194,6280,4,0,1,NONE,0,0,14122,1460,13298,4412,EvqO1OvBWcXwWVIcJHOzsX4uWIo9dmEQTWi8ItiSHmZFnJstYsZN7tyP_QPic4C-3M1KT7N6fcHA8g,SOLO,93,18,25,6,2,12,3,4,709,TOP,5,12381,0,20207,4757,0,124,22,214,6860,726,627,0,NONE,7,0,9,False
6,jatrex,4,0,12,254,Vi,0,37441,0,16802,9,False,False,8593,8358,JUNGLE,0,NONE,1,3078,3042,1033,0,0,3158,3364,19,4,JUNGLE,2,374,5276,0,10641,111,0,1,NONE,0,0,105383,6699,10646,3592,jGMWiXCYpNOqHLQS5pB1fPmIIei5Pm8mEpn0mSo1H5SDTZJBeXNz8feu3Vr_18Unqf6v4-HsH028mw,NONE,82,0,86,5,3,4,15,11,369,JUNGLE,14,6975,0,21414,5165,0,27,197,245,20657,276,126,1,NONE,7,0,28,False
7,zMotionz,5,0,14,68,Rumble,2611,4845,2611,12712,7,True,True,11085,10300,MIDDLE,0,NONE,1,4636,3157,3041,2031,3020,3916,3340,21,8,MIDDLE,4,693,79886,17004,11161,0,0,1,NONE,0,0,8105,721,8007,4552,fLgfL-sT4b2gwhYKmE5Cu4Br0QXZ0m3MYRZJfeblgEZ9dK6FX1gkd4SOFvQEOzEqsL_-cHJ6YkWXSQ,SOLO,89,127,116,10,4,4,6,14,339,MIDDLE,13,18777,0,19566,1348,0,155,209,215,2747,1051,397,1,NONE,7,0,24,False
8,Yassuo,3,0,13,157,Yasuo,1879,3702,1879,15522,7,False,False,10595,10450,BOTTOM,0,NONE,1,3006,1053,6673,3031,3123,0,3363,23,7,BOTTOM,4,507,10552,1323,9200,8,0,1,NONE,0,0,119199,14063,10114,4073,IkksLE5FPdqCG5chCR1Ag84P5TjTntJHb4ORoHl9fEuDFTjsNBXPFocf687RHxenuOwLHvoQhTFi9Q,CARRY,189,19,112,5,3,4,5,3,365,BOTTOM,17,15387,0,19787,4600,0,180,108,214,0,0,473,0,NONE,7,0,31,False
9,Retry,9,0,11,111,Nautilus,279,846,279,17193,10,False,False,5613,5450,UTILITY,0,NONE,1,3859,1028,2055,3111,1029,3050,3364,27,0,BOTTOM,0,232,6537,4294,10386,0,0,1,NONE,0,0,5370,1681,6918,4569,3I02UqtlQxm6tAC3Ts1fN66ceehpJ22slTwZO0gEY4LWmajQvwynRj1VIRsOwn2tc-B2dfzPhFxZdg,SUPPORT,26,27,25,6,7,4,4,14,559,UTILITY,41,6418,0,18207,341,0,23,157,238,2919,442,902,0,NONE,7,0,32,False
