,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Despicable me 5,6,0,18,17,Teemo,5229,5229,5229,6824,4,False,False,16147,14900,TOP,0,0,0,4637,1058,6653,3020,3135,3115,3340,20,9,JUNGLE,4,1143,156273,46172,11163,16,0,0,0,0,0,38008,2784,9110,4568,eyHMqiVDiXePrImIZe0Y5Ok8piRflTW29ogQJr8Qk5HKFNp2a8OLzbPOUzbZZUQ6OgSyGyQXU9GA2g,NONE,55,47,0,104,8,14,5,4,317,TOP,55,50767,0,21614,3734,0,239,646,204,10547,1810,1340,3,3,2,0,29,True
1,MuyLocoPinocchio,12,1,16,33,Rammus,790,26367,790,47131,7,False,True,11988,11460,JUNGLE,0,0,0,3075,6664,3047,3066,3001,1031,3340,16,4,JUNGLE,2,527,94543,10100,14771,132,0,0,0,0,0,34618,2590,15870,4615,aU1XM4qzKPpWe_pzRsOjq2YgiCc8Nqu3pJ6GoCJ6eN_TcseZt-KEbcfx2egl2o-WotbNi73Vv4K_4g,NONE,102,74,59,9,23,11,5,4,213,JUNGLE,49,14107,0,33128,10102,0,27,962,272,18840,1416,2486,1,1,2,0,25,True
2,Kekoaaa,5,0,17,777,Yone,2737,21773,2737,29824,14,False,False,16118,15400,MIDDLE,0,0,0,3133,3031,3033,3091,3006,6673,3363,33,12,MIDDLE,3,245,27480,4535,21748,59,0,0,0,0,0,188616,18227,17405,4986,ykH2gOTcuBQnxzGuqihHcGNmeMaPvRLtG5RVQQ_T5uRTiwzbemYmsMqv0D50wb00K7IcWqfszOx76g,SOLO,313,56,45,9,5,4,4,14,94,MIDDLE,27,25509,0,39533,7147,0,175,219,479,4722,2746,380,0,1,2,0,36,True
3,Rapha,9,0,17,110,Varus,8540,18220,8540,7177,5,False,False,17211,13450,BOTTOM,0,1,0,1055,6691,3042,6694,3158,3179,3340,22,19,BOTTOM,6,1003,14467,6661,10714,24,0,0,1,0,0,190480,33521,8753,4404,L4YWFKCOTvfKT4Q1eMTwee_ZcBW75HJEx16yBhK4IPOxhL7naLpSmakQvHFjXp86-oidiJdQx1Xa9A,CARRY,108,34,62,9,7,4,4,7,172,BOTTOM,41,40213,0,20111,7385,290,187,382,192,1328,30,644,2,4,2,0,20,True
4,AshleeAlex,26,0,16,201,Braum,1566,5464,1566,23902,9,False,False,10353,9325,UTILITY,1,1,0,3857,3190,3117,3050,3001,1033,3364,23,1,BOTTOM,0,628,10074,5868,11866,0,1,0,1,0,0,10992,1684,11262,4570,TZsYgmZOW-Qe_cPx8_yNBNLT3OUJU0vn3uU2ia4mi7ti0FhauBef_Twn9wT4T30z0wkKH_VQls8SPQ,SUPPORT,59,34,29,9,6,14,3,4,148,UTILITY,34,8507,1957,26379,1324,431,33,180,279,12641,954,3250,2,4,2,0,49,True
5,mr fancy feet,5,0,16,86,Garen,365,4094,365,30236,9,False,False,10177,8900,TOP,0,0,1,1054,6631,2031,3065,3111,3076,3364,21,4,TOP,0,417,10,4,17303,16,0,1,0,0,0,89053,4809,18310,3542,-A8fCy11GUB7mcO3HenfRIt5Cnhjj1BIwu2aLZ0j3VYnxq7iL4vnt35tZN0HfJmKZqJYz2HK1oQj4w,SOLO,43,27,45,7,5,4,5,14,40,TOP,11,10744,0,36919,2483,0,119,79,349,6600,5930,1304,0,0,9,0,11,False
6,MrTbearSunshine,11,0,16,141,Kayn,465,7771,465,24094,9,False,False,11213,11200,JUNGLE,0,0,1,6630,3065,0,3158,0,3071,3364,27,5,JUNGLE,2,580,6561,273,22283,104,0,1,0,0,0,109850,11008,25165,4903,js9FMAE1L_dP7MFetPSy6nYzWdQVyMBgXgGR_dsGxj43BD-bLNZLEISUOHtAAy1whrqnXqZq5Jl5BQ,NONE,150,80,44,21,19,11,5,4,169,JUNGLE,27,11928,0,50174,18345,0,55,290,299,10277,645,2725,0,0,9,0,36,False
7,aidanheat,7,0,18,101,Xerath,1771,10942,1771,8577,5,True,False,21271,21425,MIDDLE,0,0,1,6655,3020,3089,3135,4628,4629,3364,24,25,MIDDLE,10,577,202005,60305,12785,16,0,1,0,0,0,8869,1041,9608,903,oaEdpACVKV1sDiozSCwJtEv-UGKSs8A6cp9tDVxiDAXe1jvJlfBA0yiXQSvGmvvZdl6xUx_KqtzbHA,SOLO,142,71,31,81,7,4,4,21,117,MIDDLE,29,61507,0,23618,3988,0,195,223,163,2582,160,1225,0,0,9,0,19,False
8,QuakingFractal,6,0,16,523,Aphelios,1133,7295,1133,13371,10,False,False,10962,10175,BOTTOM,0,0,1,1055,6673,3006,6676,1038,1037,3340,19,3,BOTTOM,0,457,4235,900,8217,4,0,1,0,0,0,141087,13166,14780,4991,x3djOYAh9mDz1MMGR_Mq-xAjt7OvWZvP7KQjL1ysedvMfdcGLLlOZmTURno33xEuRKLy_ZUeCgZ9tQ,CARRY,111,104,0,4,5,4,6,7,46,BOTTOM,12,14067,0,23481,5112,569,191,170,312,13925,0,484,0,0,9,0,18,False
9,ClassicStang,15,0,15,89,Leona,1783,1783,1783,26989,12,False,False,9103,8775,UTILITY,0,0,1,3068,3075,3860,1011,3117,0,3364,30,2,BOTTOM,0,329,16893,6418,16529,0,0,1,0,0,0,8242,1939,12367,4811,UB3DyzadzZuMKFJKpjKrxfJzfH0wLK9HoyAQtjz2hEg5ilnm01bF_hdJPyZ5Dxc7tv1hqvnMo--x_A,SUPPORT,59,37,27,12,8,14,6,4,70,UTILITY,49,9724,0,30115,1236,0,46,98,376,5677,1366,1217,1,1,9,0,69,False
