,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,MC Francovich,13,0,18,24,Jax,4329,22154,4329,30340,3,False,False,14780,14725,TOP,1,1,0,1036,6632,3047,3153,3075,6333,3340,21,11,TOP,7,899,25835,6104,4612,16,1,0,1,0,0,116613,18981,21427,536,X3Kli50Ony8sMx1Oc_IMrPmG2W7hoKYiRrca5Tl3X3wjUkSoYxxjUkWq1I27zsNTgE-Bjc8cV0IZ_Q,SOLO,31,95,63,12,5,4,4,12,127,TOP,37,25682,0,28586,11092,0,139,128,98,18217,597,2546,2,4,3,0,15,True
1,Stedfastcupid98,8,1,15,106,Volibear,4430,26408,4430,32561,10,True,False,12710,11925,JUNGLE,0,1,0,6632,2031,3158,3053,3075,1038,3340,20,9,JUNGLE,2,388,39195,3715,5456,100,0,0,1,0,0,58293,12879,31896,985,3TqBwR4t-2zZbYQvNpsd3VIGmjCv_FCvcdsiFxZQlwngjRlQkL_GHV09dRGBuwU4Q35ovtnKGyJ8Yw,NONE,60,76,58,8,4,4,20,11,87,JUNGLE,20,17589,0,38686,14516,0,20,298,307,12043,993,1334,1,3,3,0,29,True
2,Jntoh,13,0,16,91,Talon,0,12113,0,19186,5,False,False,14479,14160,MIDDLE,0,0,0,6693,6609,3047,6695,6694,3133,3340,28,14,MIDDLE,4,656,0,0,4088,26,0,0,0,0,0,141434,26965,20562,4832,bn-IkPEDqqkTGZ3EoITWQtKAXJlGPUU51Gm7XkvDuA6wvGaNM3S7EBMGGc30dld6zBaqcxvX5zkBaA,SOLO,83,155,543,17,7,14,4,4,141,MIDDLE,6,28866,0,26727,8497,0,131,228,154,4101,1901,2077,0,0,3,0,20,True
3,castoniphus,16,0,15,21,MissFortune,5526,17556,5526,7260,6,False,False,12973,11750,BOTTOM,0,0,0,3031,6672,3006,6676,1036,0,3340,22,9,BOTTOM,3,639,3181,1061,2195,0,0,0,1,0,0,121293,22723,14605,3383,G8YI1mYzz0qbGmEnwC0-GoXnD5o4dAifytC04cwIS-UIJVIYfn_iecfywIEETNmGhYYotfb4SOqBcg,CARRY,59,80,37,10,5,4,7,7,91,BOTTOM,9,26215,0,18135,4860,927,154,140,201,11785,2431,1333,2,3,3,0,24,True
4,UnmplydNGreenlnd,17,0,14,99,Lux,1707,5938,1707,11419,5,False,False,11016,8250,UTILITY,0,0,0,3157,6656,3853,3047,2055,3916,3364,20,4,BOTTOM,2,632,58281,10883,2560,0,0,0,0,0,0,6034,609,11179,21,RELyPjDwsudkHJTyp76pLSCShcJr2C8SLglCBWluZeCujFn-k3fsRdCeDuBi7xKA0MuKtFtCzAW7nw,SUPPORT,42,27,154,18,4,6,4,4,157,UTILITY,68,11493,2323,14006,3099,0,48,329,149,0,0,266,2,2,3,0,62,True
5,bigmac3000,6,0,15,62,MonkeyKing,3044,3292,3044,34743,7,False,False,12983,12633,TOP,0,0,1,3074,3078,3067,3047,3053,1036,3340,25,7,TOP,7,829,18824,4544,6872,4,0,1,0,0,0,107660,20638,26081,3378,dkH0UKHjT5XU-XTOLeAA0rragTkXqKR_coP9A3zdjT1aSWwIBaYP-M2LuM19pF_ro849pLdjPPpfsw,SOLO,83,36,66,26,5,4,4,12,115,TOP,27,25863,0,34389,5446,0,172,90,278,1018,680,1435,1,1,8,0,16,False
6,Crono562,7,0,15,11,MasterYi,1931,19212,1931,11926,7,False,False,10489,10375,JUNGLE,0,0,1,6672,3124,3006,1053,1043,1037,3340,19,2,JUNGLE,0,628,3682,0,4767,108,0,1,0,0,0,115688,10040,18775,4218,Un5ODaTiiEC5QoHiXFVmEbzf8gj5g-gE-eo976s6HQpV_oVzd4Oi82B-N8sMSYk2pQcim7ERTUhFEw,NONE,76,17,47,12,5,4,21,11,49,JUNGLE,1,13934,0,24486,8666,0,63,90,212,39986,3894,944,1,1,8,0,21,False
7,aidanheat,9,0,15,238,Zed,1404,2788,1404,14847,9,False,False,13292,12485,MIDDLE,0,0,1,6692,3133,3158,6676,3036,3067,3340,29,9,MIDDLE,3,704,8614,1488,4487,12,0,1,0,0,0,114532,27327,17726,903,oaEdpACVKV1sDiozSCwJtEv-UGKSs8A6cp9tDVxiDAXe1jvJlfBA0yiXQSvGmvvZdl6xUx_KqtzbHA,SOLO,87,84,92,22,4,4,6,14,117,MIDDLE,10,30249,0,23053,3376,0,157,150,287,1677,1433,839,0,1,8,0,27,False
8,Parzival001,5,0,13,202,Jhin,2417,4506,2417,7998,10,False,False,11942,11600,BOTTOM,0,0,1,1055,6676,6671,3009,3094,1038,3340,22,10,BOTTOM,3,425,8082,3954,2190,0,0,1,0,0,0,115604,16009,19443,4659,C8HUvg_IcrSdQ16xsJscxgAfKbymFBrtDoU7oWUb0xVwgKlfJntWhNvKhlJExMzmkHChJ5lWjkbFLQ,CARRY,79,33,12,25,5,4,6,7,250,BOTTOM,26,20251,0,22307,4233,401,146,115,348,3127,287,673,0,1,8,0,3,False
9,Time Lord Will,13,0,12,526,Rell,647,1848,647,39089,14,False,False,7582,7025,UTILITY,0,0,1,3860,3742,3111,3105,6660,0,3364,22,1,BOTTOM,0,423,14852,7016,4256,0,0,1,0,0,0,6440,1359,22174,588,rdFz670aXOPmlc1KY2hTnfi_laOc1SXzDwUhimo-HTpKxmp6iNT1pIW2dDbQtBdIPm2t7Ix0hwB7Cg,SUPPORT,29,39,20,12,6,14,4,4,79,UTILITY,38,9495,0,28460,422,129,26,86,394,6645,1119,2029,1,1,8,0,34,False
