,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Gogoblam1,1,0,13,875,Sett,4467,4467,4467,22783,9,True,False,8873,9008,TOP,0,NONE,0,3047,3153,3076,3078,0,0,3340,18,6,JUNGLE,2,220,1396,477,6436,0,0,0,NONE,0,0,64339,13192,12387,4636,bkFjNCTO9Wx_JH4t_A-8XI6jB1_oMFA_hCKNVboUDcofL2Wkf9TGiBzli_fsz1LPkft7oJte_bfT-w,NONE,43,16,26,4,4,4,5,14,120,TOP,17,16741,0,19347,713,0,104,109,269,5896,3072,524,1,NONE,5,0,12,False
1,Lineman66,2,0,9,75,Nasus,0,798,0,9716,4,False,False,5131,4500,JUNGLE,0,NONE,0,6632,2031,1001,1028,0,0,3340,11,0,JUNGLE,0,704,21083,79,5345,68,0,0,NONE,0,0,48041,841,17666,513,57khU5uP8wYl5CLOb-Ld2g4E09LQ_gDyivhHXnYl2TiOMhBZ5XsdP12QRmb7hxeDx-Y-E-neyLeB8A,NONE,75,8,29,2,2,4,11,11,30,JUNGLE,4,920,0,23011,5919,0,22,121,71,6406,0,0,0,NONE,5,0,4,False
2,GhostSasin,2,0,10,99,Lux,982,982,982,5557,8,False,False,4927,4200,MIDDLE,0,NONE,0,1056,6655,1001,0,0,0,3340,10,1,MIDDLE,0,399,39629,6578,9186,0,0,0,NONE,0,0,8609,368,3458,4902,hcm9G2zuV8t6vU3lWKpb-vfpxv4wsVGIWGXGnDgFmGJSQiDeSbRfY6cCMaOdpnlv7VXcSSEBqVQAcQ,SOLO,26,10,106,8,3,4,2,14,103,MIDDLE,27,7749,267,12886,6,0,68,198,192,3641,801,241,0,NONE,5,0,3,False
3,PinkNinja76,1,0,10,119,Draven,0,0,0,4876,4,False,False,6659,5900,BOTTOM,0,NONE,0,3006,6671,1053,0,0,0,3340,11,3,BOTTOM,0,885,196,196,3454,2,0,0,NONE,0,0,41959,5918,5633,539,iV8OcLPl0hvZgNdnBE9-AWBA7K0Z9nOFusQ80aitHKrU3hmcnNxd6Nl9KBOHeTMDQg7CE0YpOASciw,CARRY,48,66,10,3,3,14,2,4,172,BOTTOM,3,6312,0,9548,0,0,104,23,69,198,198,460,0,NONE,5,0,11,False
4,Zwie,2,0,10,555,Pyke,0,0,0,4919,2,False,False,6525,5875,UTILITY,0,NONE,0,6691,3117,3857,3134,0,0,3364,16,3,BOTTOM,3,722,0,0,5425,0,0,0,NONE,0,0,11593,5290,4537,4413,smwdvXg_piSnsXDTmfizOYgSJyaVFHH96Be5djV90GGBQJHN8FDeucWrMNzqzAbvUkttxyTUlAbuYg,SUPPORT,33,30,18,3,3,14,2,4,284,UTILITY,20,6169,0,10210,1673,0,28,88,14,8076,879,248,0,NONE,5,0,32,False
5,BackupCoyote2,4,0,13,39,Irelia,3075,10010,3075,15127,6,False,True,11123,9925,TOP,0,NONE,0,2033,1031,3153,3047,3123,6632,3340,17,11,TOP,5,374,10211,2983,1335,8,0,0,NONE,0,0,81820,10904,17285,4761,xriJLkaI8bfVAo7rpqnU14KUYfKXhigIuCzh8QHlqqEWK1aUfadGSyPYplo9UkDu7qucVW2jHltxFg,SOLO,144,21,47,5,3,12,3,4,46,TOP,12,14255,0,20783,4689,0,127,93,172,3638,368,2162,1,NONE,1,0,13,True
6,TheRealDommy,5,0,13,2,Olaf,1600,20307,1600,10799,1,False,False,8390,7700,JUNGLE,0,NONE,0,6630,2031,3111,3053,0,0,3340,9,2,JUNGLE,2,480,6768,0,1896,120,0,0,NONE,0,0,90328,2870,14837,10,WU3roj377zsyhDQzuIR3oHeH2yNTC-M3b_U79nImvbMO9ziYQFlf7yFgqWKsZdXtNA0CmitTRyLvHg,NONE,166,26,37,3,1,4,10,11,36,JUNGLE,4,3133,0,16913,8913,0,19,487,16,14524,263,179,3,NONE,1,0,15,True
7,aidanheat,8,0,13,101,Xerath,1093,1770,1093,2346,2,False,False,8986,7185,MIDDLE,0,NONE,0,1056,6655,3020,1058,2055,1052,3363,19,7,MIDDLE,4,711,77744,17480,3137,8,0,0,NONE,0,0,7306,307,2345,903,oaEdpACVKV1sDiozSCwJtEv-UGKSs8A6cp9tDVxiDAXe1jvJlfBA0yiXQSvGmvvZdl6xUx_KqtzbHA,SOLO,85,44,18,31,3,4,3,12,111,MIDDLE,19,17788,0,6413,298,0,131,157,65,0,0,931,0,NONE,1,0,14,True
8,Awildansony,7,0,11,51,Caitlyn,1410,6228,1410,2538,2,False,False,7806,6975,BOTTOM,0,NONE,0,1055,2031,1038,1042,3006,6672,3340,16,4,BOTTOM,4,653,405,285,811,0,0,0,NONE,0,0,55406,6246,5242,1595,zW63o2u-Qs-cHc_qJRTO-5Zto6YY3V654clJ1E7t4vlXI29fbuoxKXI3R47XEfEc8NjN-qkkYot9ZA,CARRY,45,25,18,5,2,7,3,4,63,BOTTOM,8,6727,0,7103,1261,105,115,32,35,1885,196,1049,0,NONE,1,0,18,True
9,Aidenheat,10,0,11,25,Morgana,1419,2993,1419,3602,2,False,False,6710,5885,UTILITY,0,NONE,0,2424,6653,3853,1029,3020,1052,3340,17,3,BOTTOM,2,857,21061,8863,1285,0,0,0,NONE,0,0,4269,1313,6574,3543,yX_gjoUO2x2yAM20S9C-MrdiZglV94WxMrQizADU_nh6YNDxcKIKaS6McyRtccgR0neP-_xEShNj3w,SUPPORT,41,40,16,3,5,14,3,4,32,UTILITY,39,10823,129,8488,2086,0,22,58,61,3641,646,628,1,NONE,1,0,29,True
