,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Airflash,13,0,18,62,MonkeyKing,5481,8807,5481,42117,7,False,False,19617,18730,TOP,0,0,2,3814,6632,3053,3071,6694,3047,3340,26,15,TOP,6,518,32413,5110,22668,8,0,0,0,0,0,145950,35554,24516,5030,DbULBAjT1EWrbhotgGXkOFBNa7e20Y0owN0Gt2bU9O51bhsl2EAQO6ZvlxDYs1DycRhpYeEjNJ1uYA,SOLO,139,25,94,42,5,4,5,12,361,TOP,25,41202,0,54028,16647,0,230,93,254,3143,538,6842,2,3,8,0,22,True
1,EG Impact,24,0,18,64,LeeSin,3345,43116,3345,66025,6,False,False,17965,15875,JUNGLE,0,1,2,3026,6630,3035,3065,3158,3053,3340,31,11,JUNGLE,4,675,67094,4774,17716,145,0,0,1,0,0,157016,24112,40057,4568,nUvI8KDLd94slhoSE02i3Nf3VBuJ_M6w5DY4q8wo9quebba5h_y8MV-dNWVfHh0brXteBYeFSt8hPg,NONE,278,251,165,17,7,4,30,11,331,JUNGLE,30,30418,4643,60664,25516,0,60,508,156,23277,1531,2890,0,4,8,0,54,True
2,Pekin Woof,15,0,18,99,Lux,5761,14079,5761,13654,6,False,False,16547,15250,MIDDLE,1,1,2,3089,4628,6655,3020,3135,1082,3363,25,11,MIDDLE,7,599,208664,31623,6170,18,0,0,1,0,0,17245,819,8163,512,8Y6GTH-02KUbNCh5KZT454S76e3LHuQNCG4UAziiqWRXwHDe9pow61ky4CWX0JcVZup3PzUt_VT-rg,SOLO,90,42,267,16,4,4,4,21,196,MIDDLE,35,33598,6859,14935,802,0,246,830,197,3540,1155,601,4,5,8,0,40,True
3,BVOYXD,16,1,18,22,Ashe,1996,15034,1996,24632,13,False,False,18147,16000,BOTTOM,0,1,2,6673,3091,1038,3006,3085,3124,3363,34,13,BOTTOM,4,498,37431,9840,13403,28,1,0,1,0,0,194634,31957,21124,5057,OuNBBGdjWoeT1Ex-rrLPNlBl6lcf0DMwdeQF8y7Qm_IFlAYDjXAO9Y3Q5CTbxhB9Rou6Z8_uULXhpw,CARRY,52,86,26,16,6,4,6,7,83,BOTTOM,68,44402,0,35768,6364,1031,259,978,450,48432,2604,1240,0,1,8,0,47,True
4,concept of xdddd,19,0,17,89,Leona,735,1697,735,37609,12,False,False,8830,8175,UTILITY,0,1,2,8001,3190,3860,3024,3117,1028,3364,25,0,BOTTOM,0,424,11988,3511,11853,0,0,0,0,0,0,6295,1312,18304,636,bHjZP0DS49EDC8GizvufhISCyDUH4TTwY_LKmcOiMxIZpN8zVSNVEBkZ_fBMNT8M3emYrxXfelr9Hg,SUPPORT,57,43,36,16,10,4,8,14,542,UTILITY,33,6377,1560,31589,1379,611,36,59,356,6863,1552,1430,0,2,8,0,76,True
5,Speedo,12,0,18,164,Camille,1945,7614,1945,48733,12,False,False,14091,14250,TOP,1,1,1,6632,3026,0,6333,3074,3047,3363,38,4,TOP,2,245,1874,1852,14087,10,0,1,0,0,0,151619,19982,30730,4994,P1wAIpHckX7M46aIooliDBfTJa74KgapECkI88Q9yOxhE8rvj-LIVFIUz9QWVM11GGLS6EBqqKzHow,SOLO,243,70,167,12,5,12,8,14,561,TOP,29,31248,0,48205,15268,0,233,246,415,68292,9413,3387,1,2,7,0,65,False
6,Closer 100,14,1,18,131,Diana,412,28934,412,54212,9,False,False,19431,18115,JUNGLE,1,2,1,3152,3157,3135,3165,3089,3020,3364,26,16,JUNGLE,7,771,250301,45056,19265,193,0,1,0,0,0,30280,3782,25609,4761,w7QlNDTh3XO1iYvZf0-D2mb-2WULxEKWh29mS_c9BltQ0jAKBr9P7b5TKGQV148_GPGKB_k4MxYHsA,NONE,152,84,97,12,4,4,25,11,201,JUNGLE,17,50114,0,46565,12514,0,72,206,385,18303,1275,1689,0,2,7,0,32,False
7,Tempos,26,0,17,26,Zilean,1894,5063,1894,12253,7,False,False,11869,9575,UTILITY,0,2,1,3853,3157,2065,1082,3158,3102,3364,21,5,BOTTOM,3,735,65647,18591,5213,2,0,1,0,0,0,3971,935,16006,3533,84vwigzM_PKzR_l7ILNfSBNQo0XC9wj1CaM_Rc4AUNdCGTQU4PrlzCx28egj9AGEvq1ewR5-J8NTLA,SUPPORT,208,136,137,9,6,14,7,4,741,UTILITY,49,21008,1636,22476,9343,5959,40,225,203,1582,1481,1256,1,3,7,0,69,False
8,lafyèv,11,0,16,429,Kalista,5230,16344,5230,36393,9,False,False,16191,16035,BOTTOM,0,1,1,3036,6673,3072,2420,3006,3085,3363,29,9,BOTTOM,4,638,866,413,7798,38,0,1,0,0,0,209641,28354,19918,4658,Pp9mF30f8za0JUguHN-bX1eUsEq8djlXZ7Fu-w_9CoNCr4pKAsfYzJadhj-4gc8VJnOlVwZ60FXo7Q,CARRY,76,8,168,7,7,1,4,4,391,BOTTOM,27,29604,0,28754,3909,0,220,360,315,3290,836,1037,3,3,7,0,40,False
9,From Iron,10,0,17,236,Lucian,11087,16574,11087,14495,13,True,True,16651,15750,MIDDLE,0,2,1,6671,2420,3508,3031,3158,6694,3363,30,8,MIDDLE,2,382,10114,2783,10814,27,0,1,0,0,0,206033,22589,20697,4568,j5WvyQm-6Sl_98_EXRY6S6cK0Vn66UOsMlWLA4Gin0m3thmP_kZEU2o0RToHAGYW-keoL6GR4ZkawA,SOLO,94,67,59,13,5,4,5,12,294,MIDDLE,8,25372,0,32046,1711,0,222,127,553,4050,0,533,3,4,7,0,34,False
