,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,TwoVital,8,0,17,114,Fiora,10249,14167,10249,42091,3,False,True,17593,15050,TOP,1,1,0,6630,3047,3074,3065,3053,3123,3340,25,16,TOP,6,958,2063,1528,12782,15,0,0,1,0,0,172377,28491,28850,5030,RD5Ixi1hEoJrcxGR8LC6YdhHOnElopcL_6oANXS2nTkBsc9L_Xbb4_gzNevdQhBX3uLp7FgcGxhnog,SOLO,240,22,76,10,4,4,4,12,195,TOP,24,45217,0,42655,21432,1075,198,151,127,21545,15198,1022,6,6,1,0,20,True
1,LevFS,10,1,17,104,Graves,5409,68549,5409,24591,5,True,False,16161,15450,JUNGLE,0,0,0,3211,3031,3033,6676,6673,3047,3364,28,10,JUNGLE,5,558,8264,868,13874,172,0,0,0,0,0,234887,19225,13099,21,eu30mDFiZY667XAgyxrYslQYxa-_WUr_xCWDDYm_jelHIIsJCT2G8ZY_w1LbYRSYh-U-eU8QZTo1PQ,NONE,105,18,38,8,16,11,4,4,55,JUNGLE,23,22298,0,28091,6894,0,93,407,157,22729,2204,1117,3,3,1,0,46,True
2,cooplew14,11,0,15,517,Sylas,3771,10267,3771,27905,4,False,False,11455,10625,MIDDLE,0,1,0,3111,3157,6656,4629,0,1082,3340,26,7,MIDDLE,4,597,106232,21162,12057,4,1,0,1,0,0,7230,264,16887,4861,fOkBgHiLh53_GeMSYc2ERaB-GuC0oszTUpOtCEZzHjULfK6rJpwIvoPBJdUkgTeAGXVr4iQ7kbZE4Q,SOLO,75,75,142,19,5,4,5,12,343,MIDDLE,33,21635,0,29790,7784,0,159,363,117,6751,208,844,2,4,1,0,27,True
3,saving na,20,0,14,37,Sona,234,2825,234,21685,4,False,False,9000,8325,UTILITY,0,1,0,6617,3853,4643,3070,3158,6616,3364,27,1,BOTTOM,0,403,29388,10658,8113,0,0,0,1,0,0,9237,2793,11134,4021,m6Vb6Wttb2reFPBApSZeBzbA0JfBaxLBgnQqNI9D0fPUWId9M4jNl67LAQKzormaXkP7WomGU03EiA,SUPPORT,109,82,153,10,5,4,3,1,484,UTILITY,18,13772,9237,19422,26173,16328,21,35,67,11339,319,173,0,3,1,0,51,True
4,I like Booba,16,0,15,43,Karma,1325,5719,1325,20598,6,False,False,11027,8550,UTILITY,1,1,0,3157,6617,1057,3158,3114,1056,3363,19,4,BOTTOM,2,286,98345,11584,5686,8,0,0,1,0,0,17860,1840,15043,4025,jrXuRUFVDvLjNA9pk-ntfJ0eMI1GEBXEIg0ji0En6cbZyQ4XmjhF8gW966_pc0sxGnZg3Qzrfj0Izw,CARRY,149,38,113,51,3,12,4,4,443,BOTTOM,28,13424,9646,21014,7465,4691,166,363,130,3005,0,284,0,4,1,0,26,True
5,First Kyu,3,0,15,58,Renekton,1616,1616,1616,29685,12,False,False,9746,9150,JUNGLE,0,0,2,6630,2055,3053,3047,3123,1054,3340,22,1,TOP,0,362,3624,1960,15478,4,0,1,0,0,0,116349,17011,21169,4904,4Leuic6ADmYI7ds4LhkYZ-L_r6B_lWCLcoIxN3XvJFSzEFadgQgmncjKSj6Q3Cjpugk3q9OE4_7Ocw,SOLO,78,37,74,9,3,12,3,4,254,TOP,19,18971,0,40151,8532,0,181,41,311,21170,0,3502,1,1,11,0,16,False
6,Wackaroni,12,0,14,154,Zac,280,1508,280,36116,5,False,False,10899,10580,JUNGLE,0,0,2,6662,3075,3158,1082,8001,1033,3364,26,4,JUNGLE,2,623,85060,13806,14626,90,0,1,0,0,0,12946,1277,18995,5021,Ma_45tzex-bkf_tUGRIJsEbVFrbESMZIAzMaDAVLpfs7yYV5Rn0wYb0SEv5RkdxgRg6ttupVKWsJwA,NONE,57,189,78,10,20,11,5,4,394,JUNGLE,46,16258,0,42353,34175,881,29,700,145,6668,1174,8731,0,1,11,0,31,False
7,Pekin Woof,7,1,16,99,Lux,753,1149,753,9226,7,False,False,11037,10575,MIDDLE,0,0,2,4628,6655,4630,1082,3020,3916,3340,21,3,MIDDLE,2,444,127518,23293,2489,12,0,1,0,1,0,13876,1873,8044,512,8Y6GTH-02KUbNCh5KZT454S76e3LHuQNCG4UAziiqWRXwHDe9pow61ky4CWX0JcVZup3PzUt_VT-rg,SOLO,67,22,196,10,4,4,6,21,197,MIDDLE,45,26294,1271,11942,6,0,202,704,218,1377,1127,1408,0,0,11,0,24,False
8,CLG Katsurii,5,0,14,202,Jhin,2447,3039,2447,8395,6,False,False,13374,12700,BOTTOM,0,0,2,6671,1037,1038,3094,3009,6676,3363,28,9,BOTTOM,7,1031,3524,2759,6191,6,0,1,0,0,0,147021,20451,11010,3182,nQsUsfVzw3qjIlzQ6fntb4kQPM_UrAn86FA635WCrHOzG7IuRvVFgjIjZxnGk-7GIO8D82NFCCLXKA,CARRY,99,55,11,26,4,4,6,7,329,BOTTOM,33,23354,0,19855,4532,841,221,91,199,846,144,2652,0,0,11,0,30,False
9,TSM FTX Yursan7,8,0,13,111,Nautilus,0,2201,0,28177,8,False,False,8339,9325,UTILITY,0,0,2,3157,0,3860,3067,3076,3009,3364,44,5,BOTTOM,2,445,13134,7199,8865,3,0,1,0,0,0,8292,2618,9166,29,H62ZPfJgaNIRsbQ0SsaAaZlSM2qqA5HEyyC-fg3fVOjjZrkwGoIz1Uk6b6XTj5WxTrO3CeQVjgmT7A,SUPPORT,89,39,51,8,8,14,16,4,45,UTILITY,76,10815,0,19668,619,353,40,288,232,8526,998,1635,0,0,11,0,82,False
