,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,WATERMELONCHEESE,7,1,14,96,KogMaw,4271,7814,4271,8152,5,False,True,11751,11100,BOTTOM,0,1,0,6673,3124,3046,1055,1018,3006,3363,21,7,BOTTOM,3,357,44596,9715,4024,15,0,0,0,0,0,80654,11169,10940,660,DGz2SUiUebVNC_CflLFwCziez_QBsJXL1h7tThvL3Hf--UUjDoJSiID9rlDvok3XavsWlrl_UvXhfw,CARRY,40,23,37,48,3,1,3,4,246,BOTTOM,5,22684,0,15998,3038,0,196,315,109,2500,1800,1033,2,4,1,0,29,True
1,wx mjm978244659,5,0,13,245,Ekko,1449,29060,1449,15011,4,False,False,9542,9070,JUNGLE,1,1,0,3152,3020,3100,1082,0,0,3364,14,4,JUNGLE,3,273,119110,11063,5277,121,0,0,0,0,0,20030,1593,16628,7,6R0Q-CqQfM26pgZheoG1Qh3Fwl8LDjDIP9-cVI6CqX9l_GD-GJpi5jcijY7-73d9KjKtTJSIocIt6Q,NONE,106,31,79,6,15,11,3,4,373,JUNGLE,16,13202,0,22971,10139,0,35,390,74,19379,545,1065,1,2,1,0,20,True
2,Pekin Woof,4,0,14,13,Ryze,0,9543,0,5332,1,False,False,9893,9200,MIDDLE,0,0,0,6656,2033,3040,3158,4630,0,3340,19,9,MIDDLE,7,632,98649,14748,3636,12,0,0,0,0,0,7453,922,7589,512,8Y6GTH-02KUbNCh5KZT454S76e3LHuQNCG4UAziiqWRXwHDe9pow61ky4CWX0JcVZup3PzUt_VT-rg,SOLO,178,48,267,5,4,4,3,12,198,MIDDLE,28,15671,0,12445,3363,0,153,71,21,0,0,1219,0,0,1,0,22,True
3,Japan Number 1,5,0,14,875,Sett,3871,7106,3871,20232,3,False,False,10198,9675,TOP,0,1,0,1011,1028,6630,3047,3053,1055,3340,19,5,TOP,2,341,0,0,4642,0,0,0,0,0,0,88336,11835,14171,4404,GBo6k43ywaVgdse7keJFCh5YJaj_f9s81LH--Els0Fp-31wSu4lzO2m0ngs_Q80oHSl9WVJj6rM9hg,SOLO,59,21,36,5,4,4,3,12,284,TOP,19,14530,0,20851,4433,0,158,177,67,13009,2695,2037,2,3,1,0,18,True
4,Kelpo,17,0,12,117,Lulu,531,763,531,8790,5,False,False,7680,7425,UTILITY,0,0,0,3860,2065,2420,3011,3158,2055,3364,28,2,BOTTOM,0,469,6340,2885,2139,0,0,0,0,0,0,5208,1523,7328,4829,Gr3gjtPleTdemSXLYS8xyY1rgAuuhgs6hOVcfFH_DDjf-cQIreUaGbpa5hm7_kiWYa3MrqWsE74qHg,SUPPORT,38,42,56,5,5,3,2,4,268,UTILITY,22,4408,4149,10447,0,0,34,132,70,4267,0,979,0,2,1,0,54,True
5,wx solidified,1,0,13,777,Yone,1773,3266,1773,13496,4,False,False,7589,7575,TOP,0,0,1,3051,6673,1054,3006,1036,1057,3364,22,2,TOP,0,530,14683,1936,3925,8,0,0,0,0,0,87771,8071,8862,3542,yAtludE5Nt_kqFpNcCm6vm6nzLYc4i3dD5qDqmVaXtjf-q_sDUtPIsoM7v1jprldtcFB36vqFuHwiw,SOLO,200,72,35,5,2,12,3,4,72,TOP,12,10972,0,13852,1085,0,140,111,127,3805,965,1064,1,1,5,0,8,False
6,Jozyy,11,0,10,89,Leona,142,142,142,10180,7,False,False,6268,5775,JUNGLE,0,0,1,2055,3860,8001,3067,1029,3117,3364,25,1,BOTTOM,0,431,6941,1762,8249,0,0,0,0,0,0,5219,1693,6696,710,1nwNGEMVal0wdQN2fTay5vZNqpcYEACmr6sZLW7MjjVgZIXJvJMc3c5SNlO2OnE5GD1y0OgNPyUpKg,SUPPORT,34,20,26,5,4,4,5,14,404,UTILITY,26,4047,0,16463,649,411,33,49,120,7428,592,1517,0,0,5,0,48,False
7,Proosia,5,0,12,103,Ahri,707,707,707,6239,3,False,False,7913,7225,MIDDLE,0,0,1,3158,6656,3067,1056,3108,1082,3364,24,3,MIDDLE,2,632,44347,9559,7481,0,0,0,0,0,0,12507,1359,6741,5045,GAR5Ny0AagkRa3ZS4nRcw0uEq5pXZAklDukKlq-CJoTCMgx3Fi4ifZgcS5ZvAFgmbll7hYaXojcWRA,SOLO,63,80,26,27,3,4,2,12,1147,MIDDLE,18,14667,0,14984,3698,0,157,54,94,22916,3748,761,0,0,5,0,17,False
8,TDLT,2,0,11,202,Jhin,1092,2038,1092,6246,9,True,False,7902,6875,BOTTOM,0,0,1,3134,3009,1018,0,6671,0,3363,23,4,BOTTOM,2,565,1305,716,8861,0,0,0,0,0,0,78625,8966,8313,4664,n8IRt_vL17Tv41G2FC439_OLHv3ch58fNYTOQnsU77Du9HY5Od0-vWYiI23axSXHzbfItatsFKvN7w,CARRY,53,26,0,27,4,4,4,7,182,BOTTOM,11,9683,0,17765,3181,0,140,34,205,280,0,591,0,0,5,0,12,False
9,My Dream LCS,6,0,12,64,LeeSin,0,13866,0,20904,4,False,False,9909,9325,JUNGLE,0,0,1,6630,2055,3053,3111,3133,0,3340,24,8,JUNGLE,3,630,27796,2757,10612,101,0,0,0,0,0,83874,14664,14587,4664,6FFs9jNNY-qxcwx6qvglsvxqmHut2wTyl6aq-CxJGHDgwGFdDrR7E1Vf6PE9yDTcBycfZf2FJ9rfog,NONE,183,124,101,8,15,11,4,4,87,JUNGLE,19,18452,555,26305,9461,0,43,377,62,7532,1030,1105,0,0,5,0,25,False
