,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,zhong guo,7,1,17,164,Camille,16882,26229,16882,32057,3,False,True,16365,15350,TOP,1,2,0,3211,3026,6632,3074,3053,3047,3364,19,12,TOP,8,810,1692,1692,8637,19,0,0,1,0,0,135037,13304,21840,4928,M2qzyHGFG0vFOGlc2JKMdCW69aEGQMQc84qGgtSDd6Sdt3sSuxD6h-dI8eN0OIbkv12pBxZ_ZhLPRA,DUO,264,57,134,7,3,12,7,14,149,TOP,25,23984,0,33263,14810,0,190,286,113,36580,8987,2785,5,7,3,0,19,True
1,17yo sit,18,0,17,28,Evelynn,2321,17776,2321,15498,6,False,False,13800,12210,JUNGLE,0,0,0,3102,3089,3152,1052,1082,3020,3363,23,11,JUNGLE,3,493,144230,26448,7928,127,1,0,1,0,0,12284,362,17466,3836,OiUyTFS3irE5xibYICkiTANt1mj-HO7yjgX4iF8kshh70wiYseVhR-ZjwJ9OjmCMN--XL0nlb-EaYw,NONE,538,50,111,7,6,4,21,11,67,JUNGLE,7,28002,0,27879,11163,0,35,139,216,8738,1191,2484,0,2,3,0,14,True
2,May it not be ,14,0,15,91,Talon,2161,2780,2161,28256,8,False,False,12513,11975,MIDDLE,0,0,0,3071,6630,0,1054,3047,6333,3364,29,9,TOP,3,425,0,0,9198,14,0,0,1,0,0,102231,17630,20309,3494,4-dmK_7q0_EcRq_WB3jMXNGy_ZX-0E5ecs_Bof8DwEggIK9LztbnSxed8VY5Bn-RxFDTiDfjY9nhcg,DUO,62,113,381,11,5,4,7,14,449,MIDDLE,4,18382,0,33948,9441,0,120,178,254,4000,752,4440,1,3,3,0,19,True
3,Pekin Woof,8,0,15,115,Ziggs,20662,24783,20662,5879,8,False,False,10822,10775,BOTTOM,2,2,0,0,3157,3040,0,6653,3020,3340,22,3,BOTTOM,3,405,111172,16417,5605,7,0,0,0,0,0,6743,886,9687,512,8Y6GTH-02KUbNCh5KZT454S76e3LHuQNCG4UAziiqWRXwHDe9pow61ky4CWX0JcVZup3PzUt_VT-rg,CARRY,169,62,41,7,3,4,4,12,197,BOTTOM,11,17303,0,16278,1088,0,168,164,186,18350,0,985,4,4,3,0,29,True
4,9ydras,22,0,14,497,Rakan,894,4870,894,21514,6,False,False,9639,8450,UTILITY,0,0,0,2065,2031,4643,3860,3107,3158,3364,31,4,BOTTOM,0,470,11900,7442,8968,0,0,0,1,0,0,6501,2344,10982,5031,6X1-DUdez95SeW1fQzFiFuZ5Xlv9GkVEwOCj0DhAF4zDIEGfdVt0JRcpQopVcLVqRMveWR6RcG69Kw,SUPPORT,41,47,66,11,5,4,6,3,41,UTILITY,37,9815,3973,21321,6548,3653,38,97,182,7148,28,1370,1,2,3,0,82,True
5,lMPROVING,6,0,15,875,Sett,1543,6547,1543,29304,8,False,False,10596,10000,TOP,0,0,3,3053,6630,1011,3047,3076,0,3340,21,3,TOP,2,419,1529,74,10987,7,0,1,0,0,0,122315,10346,15082,3455,0e1p9Z7SX9NSHtlypenyTIfDIQD9VJWse_igMEJ5rIoI644zTGQAKchxQlvEtTZ9N2zJt2UTket41A,SOLO,85,41,44,9,3,12,2,4,57,TOP,25,13475,0,29348,5094,0,209,215,272,20499,3054,3278,1,1,11,0,19,False
6,04 Jug,13,0,15,203,Kindred,27,23073,27,11938,8,False,False,11361,10800,JUNGLE,0,0,3,3006,6671,0,6676,3094,0,3364,23,2,JUNGLE,0,621,27905,3331,12617,179,0,1,0,0,0,141714,11912,14593,4533,qoiFI2oob0LKju3XksYmeLelkyBjx0xhKpuxx0y8g4-t9DI8ndIlS6elBIlg6bFQmOlqQU7bzwC3Rg,NONE,158,48,11,5,5,4,17,11,85,JUNGLE,7,16513,0,28795,15109,3698,46,229,251,13686,1269,1584,1,1,11,0,35,False
7,SkillArgus,10,0,13,555,Pyke,135,736,135,10678,7,True,False,9913,10360,UTILITY,0,0,3,3864,3117,3133,6691,3179,0,3364,24,6,BOTTOM,5,1048,0,0,12068,0,0,1,0,0,0,16857,10302,10860,23,otaCRPSuAZbyJS9EtH-hUmqs9YdC8sUo8WBMUdQM9HeDGMTW5apJVwG8j8Q03Z_zt9rpGPBXt3NOMQ,SUPPORT,57,67,53,15,5,4,6,14,38,UTILITY,34,12313,0,25851,6803,0,18,135,231,2021,2011,2923,0,0,11,0,56,False
8,KingOfAbeyance,5,0,16,166,Akshan,2480,7337,2480,15525,10,False,False,13766,13725,MIDDLE,0,0,3,6676,6672,2420,3047,3031,1038,3364,24,13,MIDDLE,3,403,7540,2269,9855,12,0,1,0,0,0,119699,20762,13440,4574,siWj9NEwT_VvkjX0Sl7PCcaEKG4fPe0PAwXe7TK5-3ZYPFfkcYTJClpduaToD7y5QOw0I1sHH5UdwA,SOLO,86,24,115,12,3,4,8,14,106,MIDDLE,0,26904,0,24504,1962,0,170,1,321,8755,3872,1209,0,0,11,0,19,False
9,HULKSMASH1337,10,0,14,30,Karthus,1882,5180,1882,7449,6,False,False,11771,11475,BOTTOM,0,0,3,3165,2055,3157,3020,3108,6653,3363,25,7,BOTTOM,3,800,142340,31556,8555,8,0,1,0,0,0,2716,159,7079,3546,jLrQSzFrI_3vXpVaPSwdt_i_o4LKLmYUgP_mgD2GTHR9S1DJ55rf7sui2gWohWwOV4soBD6SHsmdHw,CARRY,420,23,113,6,4,4,6,3,312,BOTTOM,19,32345,0,17597,2180,0,166,183,160,3125,630,1962,1,1,11,0,24,False
