,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,lIlIllIIllIlll,13,0,18,13,Ryze,6982,13390,6982,13216,5,False,True,16006,12160,TOP,0,2,0,3082,6656,3047,3040,3102,3024,3364,20,8,TOP,5,898,211572,22575,10054,20,0,0,1,0,0,7404,937,12879,23,sjpJ5ERXgmy4x5wme3cbTDPuyUzvprGT7Z2tLqbEhpGfqImiv1BMbL1NwPFJuS_TndTwu6h5AZ0BIg,SOLO,231,56,329,7,4,12,6,4,109,TOP,31,23513,0,25884,2735,0,232,95,221,0,0,2950,2,6,4,0,39,True
1,o fafa o,8,0,14,9,FiddleSticks,845,4054,845,7763,7,False,False,10750,8825,UTILITY,0,0,0,3853,3157,1058,3020,1082,6653,3330,17,7,JUNGLE,4,650,49401,13959,11664,20,1,0,1,0,0,2815,658,10739,4907,n_bJy86uA3zWidAunUoON431tEcfNJNFgVbsGhXC-QLfeX0VRNBPTjJKTkUo0cdSNhasl30G0CRI_g,NONE,24,46,41,8,4,4,6,3,267,UTILITY,34,14662,0,23428,5779,0,23,340,232,44,44,1024,0,1,4,0,69,True
2,Arcsecond,6,1,18,234,Viego,2427,7404,2427,22907,5,False,False,15287,12875,MIDDLE,1,1,0,3111,1038,2420,6662,3091,3153,3364,20,11,MIDDLE,4,781,17601,4519,23248,8,0,0,1,0,0,116496,12426,14079,1149,rHESnlyShdzTlfiDTt0N3lMCh4gP5FnhjzQoSNj3Pocls-rc1LaU79Pyl0lXBPoRIABB8lFGX1jWzA,SOLO,177,91,68,23,7,14,4,4,411,MIDDLE,10,18373,0,37557,10970,0,239,269,171,7236,1428,230,3,5,4,0,31,True
3,Lyteskin,4,0,16,18,Tristana,6867,23930,6867,12869,12,False,False,13771,13300,BOTTOM,1,2,0,3006,6672,1057,3031,3046,3051,3363,25,11,BOTTOM,3,370,29437,2043,8661,14,0,0,0,0,0,111152,12105,12852,3788,8fgqEstTCoqcW4KElUNIm_EM2WE_AO3fZOUhJ9bA1WbHzYUoB4phCYe2nm1p6oaNtj0TY7bsEL3Yfg,SOLO,34,25,21,5,4,4,5,7,237,BOTTOM,6,16167,0,23541,4161,666,173,71,343,15305,2018,2028,3,3,4,0,39,True
4,Outsmarted,10,1,17,203,Kindred,1646,47772,1646,17034,9,False,False,14160,13850,JUNGLE,0,0,0,3091,6672,3072,3047,3134,1037,3364,28,8,JUNGLE,3,360,34290,3115,11909,138,0,0,0,0,0,129016,10702,20122,29,a7folVA2Sksawzo_guIZzGQ3p3tjpuuwnPv0r4ghDrCL8_PuhPP0ENo5zvXCSKpIquDxhX1UgSpH2Q,NONE,171,45,33,6,16,11,4,4,146,JUNGLE,6,15350,0,33814,18412,2125,30,183,224,30624,1532,1782,1,2,4,0,59,True
5,Plivet,7,0,15,236,Lucian,0,4391,0,10106,15,False,False,9580,9125,TOP,0,0,2,3158,6671,3508,1036,1018,1036,3363,28,1,TOP,0,319,5036,1560,11660,13,0,1,0,0,0,97214,9661,11139,23,bAnjvPNjj79KLP_swFYWGOQ5ZHfSksbT3J88mCsH4TSh3bvPs9ZHw-DTVcmrZZGnoaj-xhC-lbwcTA,SOLO,76,44,40,9,2,4,4,12,90,TOP,1,11437,0,23731,723,0,145,28,388,7094,216,931,0,0,9,0,25,False
6,JungIe is weak,10,0,16,76,Nidalee,0,27407,0,19842,5,False,False,13812,11325,JUNGLE,0,0,2,3916,3157,3020,1082,6655,3135,3364,16,10,JUNGLE,6,982,170420,22052,10178,175,0,1,0,0,0,18780,1053,23548,1151,zjCJ7q-bRTwtr6410RNeeqLZH8apPL2WtFRtWVo5dsczA3qYzwoDnlvcMQMK7PaOS2zMLQhBvKNMCQ,NONE,264,312,157,271,4,4,15,11,435,JUNGLE,4,23854,0,35460,23079,1964,29,205,218,11024,748,1733,1,1,9,0,20,False
7,Dragarrin,11,0,17,101,Xerath,3677,4918,3677,5111,4,False,False,15830,14050,MIDDLE,0,0,2,6655,3020,3089,4628,2055,3135,3363,24,11,MIDDLE,6,542,171152,37960,4091,9,0,1,0,0,0,11228,899,6896,4933,bWLccTHmw_aW7-YVsc55lfroONwUvK1soDeV4YhI3-9xcxraQVmdcJFMfRGKUn4DkPMSI1KfH7kokQ,SOLO,135,85,37,67,3,12,4,4,495,MIDDLE,36,38860,0,11421,311,0,228,192,148,7455,0,434,2,2,9,0,33,False
8,Enthralled,6,0,16,67,Vayne,3610,11405,3610,14849,11,True,False,14033,13375,BOTTOM,0,0,2,1038,3139,1018,3006,3046,6672,3363,23,9,BOTTOM,3,490,0,0,12256,20,0,1,0,0,0,130080,14014,12730,4993,XTQCI6CoNrNaaspAy-4AU1cLYjefe3VRloBxhJTe5L0cNa84P9fkyRSkW9YDXIfc6vg2AYgzPMcqpA,CARRY,146,0,8,10,4,4,7,3,316,BOTTOM,8,19767,0,26171,5502,0,202,80,391,34394,5752,1184,1,1,9,0,31,False
9,Klaus7,14,0,13,80,Pantheon,258,2276,258,17171,10,False,False,10016,9400,UTILITY,0,0,2,3133,3123,3855,3035,3047,6692,3364,29,7,BOTTOM,2,480,3659,1018,11745,0,0,1,0,0,0,32539,19870,11182,4070,-zmOkotVFFFKAEmlnhWFu83SSl9tShVcBDmvwvxTR-i4tghsbb58kk8NkhF_D3S17REnNWuqqeJfQQ,SUPPORT,58,31,18,6,8,14,5,4,221,UTILITY,31,22187,0,23667,3445,0,25,60,302,4769,1298,739,0,0,9,0,58,False
