,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,templzujjgzbocbm,1,0,18,114,Fiora,3438,3494,3438,38121,8,False,False,17266,16950,TOP,0,0,1,6630,3053,1038,3047,3074,6333,3363,24,8,TOP,6,684,4328,1045,10020,16,0,1,0,0,0,193909,13737,29954,4,YB9oCpxAN_YWmhwQOW4zp8c3o5_PAzBZfyjCX9Mi4NZJxmWKxL9jYxZN0veCQqMQT-0H9fbybGMWdA,SOLO,251,22,94,10,3,12,7,14,99,TOP,10,28429,0,44433,15069,1721,307,212,297,31199,13646,4458,1,1,8,0,36,False
1,Calm Antebellum,5,0,16,76,Nidalee,168,14925,168,17818,6,False,False,12084,11650,JUNGLE,0,0,1,3020,4630,3157,1082,4636,3165,3364,22,4,JUNGLE,2,770,140498,19990,9516,144,0,1,0,0,0,16721,918,23370,6,oy_Z5ou9svVZg8cgcjEmg5l44UOmyPIYfArigFsKykR44GQK2Jl5H5ofJEsjErosk_3Jzxik3ZKVWg,NONE,253,306,147,308,5,4,19,11,133,JUNGLE,1,21708,0,34843,16562,3268,36,79,185,13087,799,1956,0,0,8,0,38,False
2,Dragarrin,3,0,17,236,Lucian,3161,4159,3161,10672,10,False,False,13297,12350,MIDDLE,0,0,1,3158,3042,2033,6694,6671,3133,3363,28,1,MIDDLE,0,463,13491,3543,15233,13,0,1,0,0,0,226038,23017,15626,4933,bWLccTHmw_aW7-YVsc55lfroONwUvK1soDeV4YhI3-9xcxraQVmdcJFMfRGKUn4DkPMSI1KfH7kokQ,SOLO,125,77,64,24,5,12,5,4,496,MIDDLE,6,26867,0,31446,3181,0,277,124,397,9559,306,586,2,2,8,0,42,False
3,Good Boi,3,0,16,134,Syndra,246,5631,246,8241,8,True,False,12637,12940,BOTTOM,0,0,1,3157,1058,3070,6655,3020,3135,3363,23,1,BOTTOM,0,621,172852,11628,9952,12,0,1,0,0,0,17291,709,10831,4081,ez0-fJ1-f6MtCR4mvhbzI7lt7iiIOKMY_JLEGM6uNrcbLopDWkLQSCNIARUF_051joMPZ7rTyxsAdg,CARRY,197,156,51,4,3,4,2,12,518,BOTTOM,21,12513,0,21297,1788,0,279,353,253,6512,175,514,0,0,8,0,32,False
4,Zyko,8,0,15,111,Nautilus,0,0,0,31515,8,False,False,7301,7750,UTILITY,0,0,1,3190,3860,2055,3111,1011,1033,3364,38,0,BOTTOM,0,527,7779,3211,7883,0,0,1,0,0,0,7804,1292,14377,4568,6OZTwGVH0aEz0NmHDPM0hjnrfd7ze7nS3eUOeUvZK-pLElnhARYW7HGEVdd7fA4NPPpSwehRfu36BA,SUPPORT,57,35,26,8,4,14,8,4,398,UTILITY,45,5225,160,22841,1063,0,34,235,182,6114,722,581,0,0,8,0,91,False
5,qufl,10,0,18,41,Gangplank,3636,17434,3636,31884,5,False,False,16362,14850,TOP,0,0,0,3134,6609,6676,6632,3053,3158,3363,25,8,TOP,4,604,9837,4424,10025,36,0,0,0,0,0,208157,19277,25410,5022,fYiwep2mbmN5wBpAmVFC7QAm9LFEeU1AGuO7YlQi-1Dig8qdWCkXrY_kDUKqEhxSHWjR7l8C_FJwIA,DUO,224,37,194,7,5,4,4,12,67,TOP,11,29130,0,41540,17807,0,218,345,152,23518,5427,6105,3,4,3,0,52,True
6,xianbaowei,8,1,18,234,Viego,3861,45702,3861,37568,4,False,False,14708,13125,JUNGLE,0,0,0,2421,3091,1031,3111,3053,6632,3364,29,8,JUNGLE,4,1190,29131,2906,10149,187,0,0,1,0,0,193454,14914,22045,11,1h63Abxzjwx0gGybG0qMWZMlZycp0ktEN8hxXYk73_ljs14_HzLAcUHzHKA0xPXxPawAOdTOAQXI2g,NONE,249,139,97,19,5,4,22,11,317,JUNGLE,16,19404,0,37232,18750,0,51,395,150,16393,1583,5037,1,4,3,0,40,True
7,Shrimp Cpt,16,0,18,68,Rumble,2460,10956,2460,25857,1,False,False,16433,15850,MIDDLE,1,1,0,3165,3152,3157,3041,3089,3020,3340,25,8,TOP,7,2036,218288,31560,8556,41,0,0,1,0,0,18575,640,12946,3542,LR_rJI7AdLreKLBZv2aPWSaTTCXKa45MHR-2jMbLFaunmYG-jIWHFfjORX-BmK5aPnRvPid7Po9J8Q,DUO,171,231,208,14,4,12,4,4,125,MIDDLE,16,32352,0,23227,2891,0,259,394,60,296,152,1724,2,2,3,0,40,True
8,TSM FTX Cody Sun,13,0,18,110,Varus,6292,18342,6292,9832,2,False,False,16941,15000,BOTTOM,0,0,0,3042,6691,3814,3009,3123,6694,3363,27,12,BOTTOM,5,1290,10931,4312,6193,24,1,0,1,0,0,211307,30552,9201,4,1mjTajmspeHSLGfvMVnUcf638Rxn9WAVbjqMeDD5qbjfVMjRl24WOQqNT5_k2v8hL-t1pxsbDb-Bkw,CARRY,133,30,92,15,5,7,4,4,472,BOTTOM,30,35032,0,16375,7194,493,255,479,85,5482,166,981,2,5,3,0,45,True
9,lafyèv,21,0,16,412,Thresh,4721,11112,4721,22690,2,False,False,10872,10125,UTILITY,0,1,0,3857,4643,8001,3190,3111,3067,3364,33,4,BOTTOM,3,1751,18940,7131,7348,0,0,0,1,0,0,10347,742,5710,4658,Pp9mF30f8za0JUguHN-bX1eUsEq8djlXZ7Fu-w_9CoNCr4pKAsfYzJadhj-4gc8VJnOlVwZ60FXo7Q,SUPPORT,43,38,33,4,2,4,7,14,388,UTILITY,27,8598,2982,14859,1993,0,53,88,64,8243,724,1800,0,6,3,0,111,True
