,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,04 Jug,5,0,16,62,MonkeyKing,5211,10252,5211,26693,10,False,False,13669,13850,TOP,0,0,1,3053,6609,3026,3047,6632,0,3363,27,10,TOP,6,487,23929,3223,12829,14,0,1,0,0,0,90610,16032,23345,4533,qoiFI2oob0LKju3XksYmeLelkyBjx0xhKpuxx0y8g4-t9DI8ndIlS6elBIlg6bFQmOlqQU7bzwC3Rg,SOLO,90,22,71,18,4,4,3,12,85,TOP,10,19525,0,37092,8265,0,152,107,232,11633,270,917,1,2,9,0,15,False
1, VX REB20201,11,0,16,76,Nidalee,0,13312,0,15248,7,False,False,12437,11650,JUNGLE,0,0,1,4636,3108,3157,1082,3135,3020,3364,25,7,JUNGLE,2,650,146012,21499,12571,144,0,1,0,0,0,14131,1133,22335,3838,JKiN-6fdLNhSyagnW09tfUsrLdhAW2XTNVBWYuyPaSsxKO_crbK68OAv2KL_oQgBZzqCW11IdHAZDQ,NONE,255,298,182,344,4,4,18,11,42,JUNGLE,1,23384,0,35553,18239,2015,41,104,267,9437,751,646,0,0,9,0,43,False
2,n mkdzfx,10,0,17,45,Veigar,323,12205,323,6016,5,False,False,12546,11150,MIDDLE,0,0,1,6656,3089,3020,1082,3135,0,3340,16,4,MIDDLE,3,619,178877,14364,10273,12,0,1,0,0,0,11308,977,6943,4770,A7IQiK-d8vPmShzVk6Nvoa10C70BG2JRf8mEY3EjNnp6HsLvOU7rUEC0E2HvtXlj7M0ZOy6zzahUGA,SOLO,139,107,29,6,2,12,3,4,122,MIDDLE,25,15342,0,17586,2624,0,242,107,171,5445,0,370,0,0,9,0,10,False
3,Worst,11,1,15,360,Samira,0,4071,0,12213,8,False,False,11569,10900,BOTTOM,0,0,1,6673,3031,0,6676,1001,0,3363,24,5,BOTTOM,2,471,9661,2564,8351,7,0,1,0,0,0,91668,9617,15082,775,uc30eKSFklqMTvwQqJ4t8ViLxHqKx20ePAGh281iGCmdKa4LXqaMm8eCVMLHdf5rdI6giePK669ngw,CARRY,99,13,20,3,4,4,5,1,536,BOTTOM,0,12182,0,23798,3335,0,182,1,232,2385,0,364,0,0,9,0,23,False
4,Zyko,16,0,14,89,Leona,469,813,469,20368,6,False,False,7974,7500,UTILITY,0,0,1,3190,3857,0,1011,3111,3076,3364,33,2,BOTTOM,0,671,5402,2644,5438,0,0,1,0,0,0,7011,2447,10597,4568,6OZTwGVH0aEz0NmHDPM0hjnrfd7ze7nS3eUOeUvZK-pLElnhARYW7HGEVdd7fA4NPPpSwehRfu36BA,SUPPORT,32,25,27,9,8,14,13,4,401,UTILITY,36,6082,2753,16685,2102,531,33,50,109,6668,990,650,1,1,9,0,63,False
5,Dragarrin,9,0,16,126,Jayce,11967,16313,11967,13998,7,False,False,14251,13075,TOP,1,1,0,1037,6692,3508,3111,1038,6676,3363,26,10,TOP,4,442,22211,2322,8306,31,0,0,1,0,0,167625,21417,13065,4933,bWLccTHmw_aW7-YVsc55lfroONwUvK1soDeV4YhI3-9xcxraQVmdcJFMfRGKUn4DkPMSI1KfH7kokQ,SOLO,126,85,67,159,4,12,4,4,496,TOP,7,23935,0,21562,4338,0,183,172,212,2477,196,190,3,5,2,0,44,True
6,JungIe is weak,5,0,15,234,Viego,2063,36096,2063,21960,3,True,True,13303,11875,JUNGLE,0,0,0,3153,1028,6632,3091,3111,1036,3364,23,9,JUNGLE,6,1219,24977,2074,13197,140,0,0,0,0,0,137426,11107,17706,1151,zjCJ7q-bRTwtr6410RNeeqLZH8apPL2WtFRtWVo5dsczA3qYzwoDnlvcMQMK7PaOS2zMLQhBvKNMCQ,NONE,173,118,80,16,3,4,14,11,447,JUNGLE,14,13852,0,31739,12269,0,55,173,126,16903,670,835,2,2,2,0,28,True
7,CCA ZzeR,14,0,17,85,Kennen,6564,8116,6564,16649,7,False,False,14335,13425,MIDDLE,0,0,0,3157,3152,3102,3020,3135,0,3364,23,6,MIDDLE,2,648,161751,28801,11148,23,1,0,1,0,0,22670,2131,8696,3849,k11KQhqxnWBS665dwZ3jqSuLkw3BAIihm5XR810mIF5kl3giZDfNWfPT1Nebf63ElzFmTGo4X2Xm9g,SOLO,128,62,140,9,6,14,5,4,458,MIDDLE,32,31905,0,20385,3959,0,225,68,289,972,972,541,2,3,2,0,26,True
8,time wiII tell,11,0,14,110,Varus,1924,4592,1924,7014,7,False,False,13449,11825,BOTTOM,0,0,0,1055,6692,3814,3042,3133,3158,3363,28,9,BOTTOM,3,497,7504,4188,9704,0,0,0,0,0,0,116954,20028,8838,4,06DKI8TLfQSDJHZQuvggFEewBjWqc7XXTmbGvVI7Ntr1CGryrXgLzpJtRDHKt8jYfSuhMGohqprR8A,CARRY,71,47,63,10,4,4,3,1,218,BOTTOM,29,24689,0,18873,3239,0,189,304,236,6454,472,331,2,3,2,0,39,True
9,Asqjfexj,20,0,13,350,Yuumi,202,741,202,2838,4,False,False,7845,6925,UTILITY,0,0,0,3011,3853,2055,3114,6617,1033,3364,21,1,BOTTOM,0,696,10528,7596,3369,0,0,0,1,0,0,2212,663,3703,3545,7tR5ffYOV9umwFJVeGadUrdgacrtbKlwPePd1gCKxdMT4136JHSXSHAaYF7I_PPRTcxibgt8_Tn-_g,SUPPORT,45,96,47,8,6,3,5,14,61,UTILITY,11,8897,2161,7186,11417,11201,8,38,124,638,638,114,0,0,2,0,41,True
