,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,onlyzz,4,0,15,126,Jayce,1121,1121,1121,9027,7,False,False,9699,8275,TOP,0,0,1,1055,6692,3123,3042,3158,0,3363,17,6,TOP,2,595,12648,2964,5684,0,0,1,0,0,0,99167,16812,10645,4780,vm4l9bfVMlpfn_N5joHTwiavkKn62AaVIgZOJ0neLLIu6V4aywwB5K3hIZvD-bQr_2Zgs4KU2nFdyQ,SOLO,99,80,49,127,3,4,3,12,112,TOP,9,19897,0,17829,2200,0,179,124,141,14530,120,1498,0,0,9,0,8,False
1,Pinkwardwarrior,3,0,13,887,Gwen,0,2050,0,15426,5,False,False,8870,8385,JUNGLE,0,0,1,4633,3158,3041,2055,1052,1058,3364,19,3,JUNGLE,2,710,55870,6040,8719,136,0,1,0,0,0,28624,1383,18419,4658,rw2TO3-G4d1tNySVLUbcQZJ_r91K3n5lGGCcSRRhz3eT2hFFAsl8ajdFi0Ea6bLLc9IeSi7XPt1KIA,NONE,111,18,101,24,12,11,4,6,54,JUNGLE,8,11146,0,29073,12124,0,24,205,132,42739,3722,1934,0,0,9,0,23,False
2,Dragarrin,2,0,13,112,Viktor,2248,2397,2248,10685,11,False,False,7680,6825,MIDDLE,0,0,1,3070,3020,2033,1058,6656,2055,3363,18,1,MIDDLE,0,266,78848,13711,4597,1,0,1,0,0,0,10652,419,14118,4933,bWLccTHmw_aW7-YVsc55lfroONwUvK1soDeV4YhI3-9xcxraQVmdcJFMfRGKUn4DkPMSI1KfH7kokQ,SOLO,66,19,64,10,2,12,2,4,496,MIDDLE,18,14131,0,19334,1532,0,151,141,356,6035,0,618,1,1,9,0,26,False
3,Dimitrylol,5,0,13,81,Ezreal,2724,2724,2724,7339,6,False,False,11822,11243,BOTTOM,0,0,1,6694,2055,3078,3042,0,3158,3363,19,6,BOTTOM,4,601,12762,6572,3253,4,0,1,0,0,0,115760,11293,12892,19,0s46FGnriPwEKjNwZvXKES-cPgZKgGwzQl-jRZ9COyASwy-FX786adBZDQgzRDONpdfGxl_euK-ALA,CARRY,218,21,28,9,5,4,4,7,87,BOTTOM,0,17866,0,17119,3089,240,227,10,149,4595,0,973,1,1,9,0,10,False
4,Iaceration,7,0,12,89,Leona,979,3577,979,28290,7,True,False,8337,7925,UTILITY,0,0,1,3860,3190,3047,3075,3067,1028,3364,22,3,BOTTOM,0,614,14631,5364,7187,0,0,1,0,0,0,6449,1652,11210,4987,h3b5BJcBD5OpQ6MnJT8X4lfJmfaWAdY-sBYWq3og5cdkk5CT6lZXRRNXBxdixp7p5wdLMvyqJNChig,SUPPORT,46,31,21,9,7,14,3,4,503,UTILITY,34,7771,485,19839,608,307,51,70,179,9254,755,1441,0,1,9,0,68,False
5,Kurose,6,0,14,114,Fiora,4169,5366,4169,18223,6,False,False,10538,9575,TOP,0,0,0,1054,3047,6630,3044,3074,0,3363,21,4,TOP,0,433,1980,550,10143,8,1,0,1,0,0,90032,9791,15468,4249,hdYqbuCc41k-HR6IwBDttQ38iokMCRCDQ7r49uoY-8Tv25Al8ms2uQRi9LJSBxf0dYgQYTDfPrJ80Q,SOLO,144,13,42,10,4,12,3,4,271,TOP,4,13590,0,27071,7717,34,163,71,159,24693,3248,1459,1,1,2,0,13,True
6,toreshi,8,1,15,163,Taliyah,0,41365,0,9709,3,False,True,12597,11775,JUNGLE,0,0,0,6655,1082,3116,3020,3102,2420,3364,18,13,JUNGLE,11,1186,143568,18040,7851,146,0,0,0,0,0,12571,629,13885,3854,roSaCPFHWpqqkFmsSNUsiAmXBsiHT8BFmfwiQb2DgPjjAjUanC0mBvnvXJjdzAE7e8KC6GBEWfNpJw,NONE,174,29,77,3,2,4,16,11,332,JUNGLE,15,20162,0,23486,11880,0,23,466,86,16851,1492,1749,2,2,2,0,28,True
7,Tempt1597,12,0,17,236,Lucian,11463,25898,11463,8477,2,False,False,15355,14200,MIDDLE,0,0,0,3042,6676,6692,2055,3158,6694,3363,25,12,MIDDLE,10,625,6390,1886,9691,37,0,0,1,0,0,178481,24221,7313,3545,JtH923f_eTvRXqKXjSDsvC6hCeRlCdJmXSh2lg6FX9JK0X_-2Dby20LJLgfJmLyDLK9eeeydVpasaQ,SOLO,100,57,56,14,4,12,3,4,61,MIDDLE,4,27221,0,17478,7075,0,203,66,47,3910,1112,473,5,5,2,0,37,True
8,AOE ROCKBOOM,9,0,15,523,Aphelios,4003,6808,4003,8871,5,False,False,11380,10975,BOTTOM,1,1,0,1055,6673,3036,2055,3006,3046,3363,25,6,JUNGLE,3,544,1948,652,5457,16,0,0,0,0,0,124616,11698,8765,507,5GZU8jOKfT9t9YQ1MwGwHFEg9QgTSLIHh3RISHJXJpMf4LmxbNYfzR0Ud79ovQeuaBIrklxTFmfPEQ,NONE,81,101,0,4,4,4,4,7,144,BOTTOM,6,12351,0,14780,3856,264,193,117,69,9280,0,557,1,4,2,0,21,True
9,Jakoshade,17,0,14,53,Blitzcrank,1002,1276,1002,11319,3,False,False,7816,6700,UTILITY,0,1,0,2065,3050,3860,0,0,3117,3364,22,1,BOTTOM,0,719,15026,5718,4633,0,0,0,1,0,0,5593,2072,9045,746,suW_CBllv8ILN5JVMTM1bexa0fUk4v3y3d2p4PiK-po1VwIzYFXGiVA-_SZKrbvIrPBzVGTk9g5E-Q,SOLO,25,31,30,12,13,4,5,14,310,UTILITY,32,8402,0,14037,2640,632,36,102,74,17335,612,358,0,2,2,0,53,True
