,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,Nábe,2,0,16,114,Fiora,12452,14303,12452,17365,1,False,False,14125,11300,TOP,2,2,0,3047,3181,0,0,6630,3074,3340,14,8,TOP,8,191,940,310,2511,23,0,0,0,0,0,147017,10929,14846,4293,Hm56YbkSgmXlQ-SZ_zUAtCq9eM3XiJ8rZ8HdU0dCJx227tjWZFNq9o8lnqKbj0iL2-AllvpiMhtdrQ,DUO,153,10,61,5,2,12,3,4,137,TOP,2,17109,0,18058,10546,1689,218,97,8,7000,5870,700,5,5,0,0,12,True
1,JungIe is weak,7,0,14,121,Khazix,1551,36146,1551,13480,5,False,True,11351,11325,JUNGLE,0,1,0,6691,3142,3814,3158,1036,1036,3364,21,8,JUNGLE,6,605,6177,1236,4027,107,0,0,0,0,0,122783,15370,19013,1151,zjCJ7q-bRTwtr6410RNeeqLZH8apPL2WtFRtWVo5dsczA3qYzwoDnlvcMQMK7PaOS2zMLQhBvKNMCQ,NONE,176,72,29,15,2,4,13,11,424,JUNGLE,6,17529,0,23954,12540,0,37,106,78,10576,922,913,3,3,0,0,28,True
2,Diabloww,0,0,13,84,Akali,766,766,766,6441,4,False,False,9011,8425,MIDDLE,0,0,0,3916,3020,3157,3152,1082,0,3363,19,6,TOP,3,821,57063,10625,4843,4,0,0,0,0,0,7424,757,7241,4070,toOuNyuA7e58wAkSTxoGSy2rfV4FoNHYjFtaf1EUrxef3mfsBxb2zP78FfTE3SmKpES68UEHvQTIVg,DUO,87,21,45,15,3,4,4,14,95,MIDDLE,1,11934,0,12942,274,0,141,48,141,2444,552,858,1,1,0,0,19,True
3,LastDanceDF,8,0,13,110,Varus,3192,7682,3192,3624,6,False,False,11403,10925,BOTTOM,0,0,0,3035,3123,3042,3133,6691,3158,3363,28,8,BOTTOM,3,579,5086,1698,4867,0,0,0,0,0,0,109095,16102,6042,4928,n06tF1sl-0Ux5Lox162e4yWmN0kVJjQmRkq1LiuU4XP8tY51pycNUxjHYJiEA-FwCexx554akrqA0w,CARRY,77,12,38,10,5,7,3,4,587,BOTTOM,20,17800,0,10998,3066,623,178,179,151,0,0,88,1,1,0,0,26,True
4,Busio JNG,14,0,11,25,Morgana,438,6499,438,7921,7,False,False,8547,7375,UTILITY,0,0,0,6653,3158,3157,3853,0,0,3364,24,3,BOTTOM,2,316,26448,9177,4830,0,0,0,0,0,0,3681,343,8357,4302,K33lylwmpEg3SGfUg7asYwkFSwg0fvfQTmVOcsPSSWIrHWEuBgnplPopPXS2KdZMLBEWn3Q8AtYi3A,SUPPORT,51,71,11,8,5,14,4,4,118,UTILITY,43,10264,98,13494,2158,0,29,61,172,744,744,306,0,0,0,0,55,True
5,asap nocky,4,0,13,56,Nocturne,0,1825,0,11406,7,False,False,7685,7500,TOP,0,0,2,2033,6631,3044,3076,3047,1028,3363,21,2,TOP,0,336,2370,1273,1671,5,0,0,0,0,0,84374,7193,10783,4282,B9LF1sCsXZHFEGrpRZ2aZGPp85APXb_32_-YRxhhYZU-GuW4h4h_N0yFboR-aYl7_qJJMP-qJFnbDg,SOLO,82,15,14,9,4,14,4,4,200,TOP,84,9121,0,16108,3405,0,150,260,201,654,654,3653,0,0,10,0,21,False
6,Memes From The 6,9,1,13,5,XinZhao,0,12195,0,14828,7,False,False,9752,8725,JUNGLE,0,0,2,2031,6630,2420,3053,1029,3158,3364,19,5,JUNGLE,2,341,12138,1037,11166,109,0,0,0,1,0,92981,12591,19049,3378,5bklCNXeWQ-MPUgeHmxdCiWeV7XqjuPdQEjU0GLmxcq1LgArtszj0hfqZkS5Uf2gUM2w7PvvzusIkg,NONE,62,74,0,12,17,11,3,4,142,JUNGLE,16,14903,0,31327,14000,0,36,319,136,8272,1274,1112,0,0,10,0,32,False
7,Nzm,6,0,13,55,Katarina,0,869,0,5775,6,False,False,9039,8235,MIDDLE,0,0,2,1082,3115,3152,3020,1052,0,3364,18,5,MIDDLE,2,544,67874,12108,4839,4,0,0,0,0,0,7882,736,10534,3788,C8zYjBXEu7U7HPndWX_Tsm-zJiFEzOW53ZVlGJ0pzoZqCQWLtLQz95vQyDQjOl5K82IBpxfmbdnt4w,CARRY,58,45,0,8,2,14,2,12,570,MIDDLE,0,12996,0,15881,811,0,131,15,153,8507,152,508,0,0,10,0,11,False
8,Doublelift,6,0,13,202,Jhin,0,975,0,5454,5,False,False,12272,11675,BOTTOM,0,0,2,3009,6671,1038,6676,3094,0,3363,29,8,JUNGLE,4,369,5388,2076,3394,4,0,0,0,0,0,105024,9373,8516,4568,ivcGtM9K5zatTMuKPHljy7Wk9uVjpw93M1Dz-0aWj3xv3KP3fIfq8m7p72sJuwNrD4zR_MckybTm4w,NONE,71,35,31,15,4,4,2,1,257,BOTTOM,14,11528,0,12598,1984,0,197,78,82,9618,78,687,0,0,10,0,19,False
9,Saiyans,12,0,12,89,Leona,0,951,0,14397,8,True,False,6971,6250,UTILITY,0,0,2,3117,3857,3190,1011,1057,0,3364,22,3,MIDDLE,2,397,4802,1267,4152,4,0,0,0,0,0,6373,2049,10891,773,U6K_sUIBODq2XggLwoGtWN-X8XyWOJFqXbbq5xAxtmUqMEfMIzrqzzvrx3upiKN-6KLVzi5s9XXtZw,SUPPORT,37,26,17,7,5,14,4,4,429,UTILITY,20,4024,463,17169,1022,413,26,38,106,7142,708,2126,0,0,10,0,43,False
