,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,RAHULK1,17,0,14,875,Sett,2804,8250,2804,31995,6,False,False,11759,11700,TOP,1,1,0,3193,6630,3053,0,0,3111,3364,24,8,MIDDLE,3,386,0,0,15571,9,0,0,0,0,0,93163,17388,18174,29,78RUEKfbJDKGELcKQHg9cYEvsx1MfDyV1UxGE-dOdb7B3khtsPl9XltCuypePwES792piLy1gAI9WA,CARRY,75,24,43,9,4,4,3,12,162,MIDDLE,34,20158,0,35060,8161,0,150,219,158,11303,2770,1315,0,2,2,0,32,True
1,Crystal Yu,12,0,15,30,Karthus,1231,41911,1231,9022,4,False,True,13013,12779,JUNGLE,0,0,0,2421,3135,6655,2055,3020,3089,3363,26,11,JUNGLE,5,443,168086,27983,5769,132,0,0,0,0,0,6254,564,14722,7,fySBYHdp67zcKtfKT0BChNc7eoJY1XoynWKPWp3S7BLM8dAJGE9_pEHpzURGPqxnzuiwfjfaSGA3BA,NONE,486,28,259,7,17,11,4,3,86,JUNGLE,19,29725,0,20785,9807,0,48,209,93,14898,1176,294,4,4,2,0,29,True
2,zhong guo,9,0,14,164,Camille,1233,2524,1233,16057,5,False,False,9908,8050,TOP,0,1,0,0,2421,6632,1055,3074,2422,3364,18,7,TOP,6,297,1067,1067,7476,12,0,0,1,0,0,70439,10169,12755,934,M2qzyHGFG0vFOGlc2JKMdCW69aEGQMQc84qGgtSDd6Sdt3sSuxD6h-dI8eN0OIbkv12pBxZ_ZhLPRA,SOLO,165,39,82,7,3,12,5,14,128,TOP,18,15961,0,21080,5628,0,151,188,134,17752,4723,849,0,2,2,0,14,True
3,Doublelift,8,0,14,145,Kaisa,10133,14864,10133,11006,2,True,False,13561,11660,BOTTOM,0,1,0,1055,3036,0,3006,3091,6672,3363,26,12,BOTTOM,7,706,16126,5993,5898,27,1,0,1,0,0,132598,18891,10047,4568,ivcGtM9K5zatTMuKPHljy7Wk9uVjpw93M1Dz-0aWj3xv3KP3fIfq8m7p72sJuwNrD4zR_MckybTm4w,SOLO,76,27,61,8,4,4,4,1,259,BOTTOM,2,27727,0,16021,5911,0,201,22,38,11054,2842,76,3,4,2,0,32,True
4,Zeyzal,18,0,12,526,Rell,335,729,335,20465,7,False,False,6549,6075,UTILITY,0,1,0,3860,3111,3190,2421,0,0,3364,25,1,MIDDLE,0,403,8339,4629,7251,0,0,0,1,0,0,3010,764,8720,3379,AhxqO75F8KwyhoWcThFtaLOCHqRGgt-iJ6uqEugKcRvqoR_6VOAppMWgiZTkX1PQSOt9VXJXiIY68g,SUPPORT,67,30,29,5,8,4,7,14,108,UTILITY,25,6316,250,16425,2440,1210,24,42,133,4697,922,453,0,1,2,0,45,True
5,RNG Xiãohu,2,0,15,58,Renekton,2665,4539,2665,13792,6,False,False,11402,11400,TOP,0,0,1,3748,1037,6630,3076,3044,3047,3364,30,5,TOP,2,627,4470,1590,12105,11,0,1,0,0,0,120668,13444,12536,4988,iHWQAWqjzLE4zDfhk1oE93DqMOoH9Kl3W-c5Ed8bYWdCwZwpdGIgYFSS8dDVldBGgmijjIOdhs-FYw,SOLO,61,30,63,9,2,12,4,4,160,TOP,23,15328,0,29176,5323,0,183,64,170,4888,294,4534,1,1,7,0,29,False
6,shift4WRDQQE3,5,0,13,76,Nidalee,0,5385,0,15173,6,False,False,11088,11110,JUNGLE,0,0,1,4636,3135,3157,2055,3020,1052,3364,25,10,JUNGLE,5,437,99695,18696,10053,120,0,1,0,0,0,13235,1655,18357,4928,hHkhWh4Dkan9RW_dygBPmz6bYUSO1qVM70XtvJBA-x-NF5g8cPKqN0WJcTw8XWHAqP9jEdR9ej6QTg,NONE,216,212,116,230,4,4,17,11,41,JUNGLE,4,21536,0,30481,13486,1430,28,128,166,9231,1185,2071,0,0,7,0,48,False
7,DÑA,4,0,13,134,Syndra,0,150,0,6200,10,False,False,6912,6500,MIDDLE,0,0,1,0,1026,3020,1056,6655,1082,3363,20,0,MIDDLE,0,349,74377,13265,5383,0,0,1,0,0,0,8471,2158,10007,4982,XAGjVyRSDz12mJvOllPQUJkt_XRGy_xEdE72USwMuxRFDjrJiH50CUFblDR-WenD6-bWWKZlzZ0UwQ,SOLO,116,105,38,4,4,4,4,14,374,MIDDLE,26,16115,0,17065,901,0,159,192,246,692,692,1674,0,0,7,0,19,False
8,TL Yeon,5,0,13,498,Xayah,2063,2865,2063,6750,7,False,False,10469,10175,BOTTOM,0,0,1,6671,1038,1018,3006,1055,3508,3363,24,8,JUNGLE,3,576,707,707,7295,8,0,1,0,0,0,106632,22690,10447,3890,uBhJhCvuEMN6JzxU_mM6jfBqt7PS24z7DWvCPNqF_yU1szZbjQ5QHsdaJDldQHbyHV1BFgzzu8jIQg,NONE,64,25,54,9,4,4,5,7,89,BOTTOM,12,23398,0,20350,3227,510,160,16,184,17305,0,2606,1,1,7,0,13,False
9,TSM Donbray,13,0,11,3,Galio,839,3543,839,21861,10,False,False,6471,6150,UTILITY,0,0,1,3860,2055,3190,3111,1011,1028,3364,23,1,BOTTOM,0,394,14365,5159,6553,0,0,1,0,0,0,1102,236,12086,4928,__gQwuDQYB7yskJrUm2HjmBrjOeLzZm8R3Oiq5AyRw9AhMRt4AL6GByD1s4d5SdxLWwlipVK26CePA,SOLO,26,17,33,4,3,4,7,14,64,UTILITY,24,6211,1909,20188,34,0,32,50,157,9325,816,1548,0,1,7,0,49,False
