,summonerName,assists,baronKills,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodKill,firstTowerKill,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,kills,lane,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamPosition,timeCCingOthers,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,win
0,King Veer,0,0,12,23,Tryndamere,3242,3434,3242,8473,2,True,False,7082,5050,TOP,0,0,0,1054,6672,0,3006,0,0,3340,14,5,NONE,2,346,0,0,2788,5,0,0,0,0,0,65902,6257,9200,4569,_SrOClEhhrF4PMCZR8Dt8o9Xph_c95E0sM6TSDLepg7P2rGSqBRZBZUnWUGNoOdiWIlKdmaUtzm_vA,SUPPORT,26,5,48,3,3,6,2,4,66,TOP,2,6517,0,12025,5300,0,124,13,35,1850,259,36,1,1,1,0,9,True
1,Fake smiIes,7,0,10,5,XinZhao,0,20659,0,6033,1,False,False,6191,4700,JUNGLE,0,0,0,6692,2031,1036,1001,1036,0,3340,8,3,NONE,3,341,7588,384,2567,80,0,0,0,0,0,59307,6536,9846,4018,F0fVbadwEu98kSDHXTAsTpxmZajk1aloLdaAK6fzTSktonW7DXeTjJ69s7crSBG1uwxDid9rvS9Utw,SUPPORT,38,56,0,3,8,11,2,4,268,JUNGLE,12,7365,0,12579,8669,0,16,280,12,11552,444,164,0,0,1,0,13,True
2,Cupic,6,0,11,147,Seraphine,2357,2481,2357,2843,0,False,False,6864,6490,MIDDLE,0,0,0,6653,3158,3070,1056,3108,3067,3363,12,4,NONE,4,0,50776,5543,964,0,0,0,0,0,0,7457,1371,3346,1625,GrhKqyIvYPUrsKzL8oIAdBFuSUfUe8USPvkUfkmzLuS2gNCUL5BiaHJEbmm3ovjrRpwSSipd2CzsjQ,SUPPORT,60,20,34,3,2,4,2,12,249,MIDDLE,7,6915,338,4401,282,56,122,100,0,3927,0,90,0,0,1,0,6,True
3,BillyBlopJew,2,0,9,202,Jhin,132,655,132,2342,1,False,False,6646,5725,BOTTOM,0,0,0,1055,3009,6671,1037,0,0,3363,14,7,NONE,6,810,2186,765,726,0,0,0,0,0,0,41192,7348,5240,15,pA0zLvgj1QRNdNpl5FPxq74E8UNuAuOLfctTVAjRj4_8Is80q8GpRC80KGbwS75RYo3T7BIyM5OVzw,SUPPORT,37,22,21,10,2,4,3,3,62,BOTTOM,14,8213,0,6252,903,0,98,76,27,100,100,285,0,0,1,0,4,True
4,Gweiss,6,0,8,89,Leona,0,0,0,5603,3,False,False,3920,3075,UTILITY,0,0,0,2031,3855,0,1028,3117,3067,3364,15,1,NONE,0,455,3601,1000,1936,0,0,0,0,0,0,2754,948,4822,4581,LH6AwYUSrOll_q2H7efFB8UJXPhrZceyZ3Z20VLnxxBpNnLSmTUBW1jLrrz7gBxpMGJu7I62SpCjGw,SUPPORT,17,13,12,3,4,14,8,4,571,UTILITY,16,2336,0,7236,204,157,23,28,49,4962,388,478,0,0,1,0,24,True
5,Nha Co Don ,2,0,9,64,LeeSin,728,728,728,4952,4,False,False,5143,4875,TOP,0,0,0,6630,2031,2055,1001,1055,1028,3340,16,1,NONE,0,250,22076,1711,158,0,0,0,0,0,0,28182,3836,7399,3962,Vsv0EVzgO9thlz0G0JFK8tTteDoUKBeq3RjkuATBF7H2XJwWGO11xZI7qlGaB-tERMKrM2JhJTibOQ,SUPPORT,48,63,48,2,3,4,2,12,476,TOP,7,5547,53,7833,622,0,100,122,73,0,0,275,0,0,1,0,4,False
6,ccgod,2,0,9,79,Gragas,0,2808,0,7558,3,False,True,4880,4675,JUNGLE,0,0,0,2031,3020,2055,4005,2424,1082,3364,12,1,NONE,0,613,41496,3347,1673,76,0,0,0,1,0,11597,553,11417,581,aDa4aqasYeIi0I6-DLBvwMKkRcpit_NjS9smho777uX_ya7nVvEStRO23r_aKUY2RRT-6LiCMxUIpw,SUPPORT,71,56,29,3,1,4,11,11,263,JUNGLE,13,4289,0,13248,6504,0,13,281,48,6896,388,158,1,1,1,0,13,False
7,Palafox,2,0,9,39,Irelia,123,123,123,6732,6,False,False,4861,4375,MIDDLE,0,0,0,1055,3153,1001,1042,0,0,3340,13,1,NONE,0,345,2454,903,4218,0,0,0,0,0,0,40069,3540,6509,4568,q8y8dLU4N_1pGNmI3yieqSCDLlVMzrFkT1wniO5rNssvv8OqRgu60X-KXiKM_OkCgba2kOblXuPcRQ,SUPPORT,91,12,20,3,2,4,2,12,144,MIDDLE,6,4444,0,10997,1252,0,115,19,143,2605,0,270,0,0,1,0,4,False
8,Doublelift,0,0,8,222,Jinx,1783,1783,1783,2607,3,False,False,7283,6950,BOTTOM,0,0,0,1055,3085,6672,1001,0,0,3340,10,4,NONE,2,326,576,296,849,0,0,0,0,0,0,49067,7087,5377,4568,ivcGtM9K5zatTMuKPHljy7Wk9uVjpw93M1Dz-0aWj3xv3KP3fIfq8m7p72sJuwNrD4zR_MckybTm4w,DUO,112,13,9,2,2,4,2,1,257,BOTTOM,11,8051,0,6286,728,0,135,23,51,1810,666,60,0,1,1,0,9,False
9,Pseudo,3,0,7,412,Thresh,83,83,83,4631,5,False,False,3798,2925,UTILITY,0,0,0,2031,0,3855,3067,1004,3158,3364,15,0,NONE,0,247,3015,1571,1447,0,0,0,0,0,0,3781,828,5384,621,6dzqo80D_bLIPI3bnhnoDl17MA9VnWljq8KrtL-CHJlea6LR8SbDEN01qdVMyBfAtoqkl40hjE0CRw,SUPPORT,13,9,8,3,1,4,3,3,163,UTILITY,13,2400,991,7259,437,358,19,36,61,3179,0,428,0,1,1,0,17,False
